src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
140.82.113.21,192.168.100.50,443,54732,6,Benign,0.3616 seconds,1.0
140.82.113.21,192.168.100.50,443,54732,6,Benign,0.2401 seconds,1.0
192.168.100.51,192.168.100.50,61895,21,6,Benign,0.5014 seconds,1.0
192.168.100.51,192.168.100.50,61895,21,6,Benign,0.4258 seconds,1.0
192.168.100.51,192.168.100.50,61892,21,6,Benign,0.5118 seconds,1.0
192.168.100.51,192.168.100.50,61892,21,6,Benign,0.4688 seconds,1.0
192.168.100.51,192.168.100.50,61893,21,6,Benign,0.3967 seconds,1.0
192.168.100.51,192.168.100.50,61893,21,6,Benign,0.4429 seconds,1.0
192.168.100.51,192.168.100.50,61898,21,6,Benign,0.5458 seconds,1.0
192.168.100.51,192.168.100.50,61898,21,6,Benign,0.4393 seconds,1.0
192.168.100.51,192.168.100.50,61899,21,6,Benign,0.5329 seconds,1.0
192.168.100.51,192.168.100.50,61899,21,6,Benign,0.3068 seconds,1.0
192.168.100.51,192.168.100.50,61890,21,6,Benign,0.2796 seconds,1.0
192.168.100.51,192.168.100.50,61890,21,6,Benign,0.3071 seconds,1.0
192.168.100.51,192.168.100.50,61891,21,6,Benign,0.4639 seconds,1.0
192.168.100.51,192.168.100.50,61891,21,6,Benign,0.3999 seconds,1.0
192.168.100.51,192.168.100.50,61896,21,6,Benign,0.3744 seconds,1.0
192.168.100.51,192.168.100.50,61896,21,6,Benign,0.3585 seconds,1.0
192.168.100.51,192.168.100.50,61897,21,6,Benign,0.3720 seconds,1.0
192.168.100.51,192.168.100.50,61897,21,6,Benign,0.5081 seconds,1.0
192.168.100.51,192.168.100.50,61894,21,6,Benign,0.5485 seconds,1.0
192.168.100.51,192.168.100.50,61894,21,6,Benign,0.4477 seconds,1.0
192.168.100.51,192.168.100.50,61903,21,6,Benign,0.4000 seconds,1.0
192.168.100.51,192.168.100.50,61910,21,6,Benign,0.3990 seconds,1.0
192.168.100.51,192.168.100.50,61910,21,6,Benign,0.3513 seconds,1.0
192.168.100.51,192.168.100.50,61906,21,6,Benign,0.3070 seconds,1.0
192.168.100.51,192.168.100.50,61906,21,6,Benign,0.3409 seconds,1.0
192.168.100.51,192.168.100.50,61907,21,6,Benign,0.3267 seconds,1.0
192.168.100.51,192.168.100.50,61907,21,6,Benign,0.3139 seconds,1.0
192.168.100.51,192.168.100.50,61909,21,6,Benign,0.3025 seconds,1.0
192.168.100.51,192.168.100.50,61909,21,6,Benign,0.3455 seconds,1.0
192.168.100.51,192.168.100.50,61908,21,6,Benign,0.3826 seconds,1.0
192.168.100.51,192.168.100.50,61908,21,6,Benign,0.3473 seconds,1.0
192.168.100.51,192.168.100.50,61912,21,6,Benign,0.3182 seconds,1.0
192.168.100.51,192.168.100.50,61912,21,6,Benign,0.3131 seconds,1.0
192.168.100.51,192.168.100.50,61911,21,6,Benign,0.3076 seconds,1.0
192.168.100.51,192.168.100.50,61911,21,6,Benign,0.3517 seconds,1.0
192.168.100.50,192.168.100.51,21,61924,6,Benign,0.3335 seconds,1.0
192.168.100.51,192.168.100.50,61924,21,6,Benign,0.3021 seconds,1.0
192.168.100.50,192.168.100.51,21,61921,6,Benign,0.3159 seconds,1.0
192.168.100.51,192.168.100.50,61921,21,6,Benign,0.3476 seconds,1.0
192.168.100.51,192.168.100.50,61920,21,6,Benign,0.3377 seconds,1.0
192.168.100.51,192.168.100.50,61920,21,6,Benign,0.3762 seconds,1.0
192.168.100.51,192.168.100.50,61928,21,6,Benign,0.3292 seconds,1.0
192.168.100.51,192.168.100.50,61928,21,6,Benign,0.3093 seconds,1.0
192.168.100.51,192.168.100.50,61928,21,6,Benign,0.3340 seconds,1.0
