src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
192.168.100.50,185.199.111.153,48940,443,6,Benign,0.8181 seconds,1.0
185.199.111.153,192.168.100.50,443,48940,6,Benign,0.6510 seconds,1.0
20.205.243.168,192.168.100.50,443,36620,6,Benign,0.4708 seconds,1.0
20.205.243.168,192.168.100.50,443,36620,6,Benign,0.5075 seconds,1.0
192.168.100.50,34.120.208.123,37852,443,6,Benign,0.5639 seconds,1.0
192.168.100.50,52.168.117.174,43478,443,6,Benign,0.5259 seconds,1.0
192.168.100.49,224.0.0.251,5353,5353,17,Benign,0.5049 seconds,1.0
192.168.100.52,224.0.0.251,5353,5353,17,DoS,0.6369 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.51,192.168.100.255,137,137,17,Benign,0.4953 seconds,1.0
192.168.100.50,192.168.100.1,45316,53,17,Benign,0.5391 seconds,1.0
192.168.100.50,34.120.208.123,37852,443,6,Benign,0.4660 seconds,1.0
192.168.100.50,192.168.100.1,50124,53,17,Benign,0.4732 seconds,1.0
192.168.100.50,192.168.100.1,50793,53,17,Benign,0.4897 seconds,1.0
192.168.100.50,192.168.100.1,45303,53,17,Benign,0.4547 seconds,1.0
192.168.100.50,192.168.100.1,40865,53,17,Benign,0.5528 seconds,1.0
192.168.100.50,192.168.100.1,42154,53,17,Benign,0.4750 seconds,1.0
192.168.100.50,192.168.100.1,41851,53,17,Benign,0.5053 seconds,1.0
192.168.100.50,192.168.100.1,46941,53,17,Benign,0.5326 seconds,1.0
192.168.100.50,192.168.100.1,44374,53,17,Benign,0.5181 seconds,1.0
192.168.100.50,192.168.100.1,51077,53,17,Benign,0.6025 seconds,1.0
192.168.100.50,34.36.137.203,40563,443,17,Benign,0.5298 seconds,1.0
192.168.100.49,224.0.0.251,5353,5353,17,Benign,0.5580 seconds,1.0
192.168.100.50,192.168.100.1,58190,53,17,Benign,0.5471 seconds,1.0
192.168.100.52,224.0.0.251,5353,5353,17,DoS,0.6109 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.50,192.168.100.1,52799,53,17,Benign,0.5482 seconds,1.0
