src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
20.205.243.168,192.168.100.50,443,43904,6,Benign,0.3933 seconds,1.0
20.205.243.168,192.168.100.50,443,43904,6,Benign,0.2831 seconds,1.0
192.168.100.51,192.168.100.50,63534,80,6,Benign,0.2497 seconds,1.0
192.168.100.51,192.168.100.50,63535,80,6,Benign,0.2662 seconds,1.0
192.168.100.51,192.168.100.50,63536,80,6,Benign,0.4458 seconds,1.0
192.168.100.51,192.168.100.50,63537,80,6,Benign,0.4279 seconds,1.0
192.168.100.51,192.168.100.50,63538,80,6,Benign,0.3366 seconds,1.0
192.168.100.51,192.168.100.50,63539,80,6,Benign,0.3633 seconds,1.0
192.168.100.51,192.168.100.50,63540,80,6,Benign,0.2613 seconds,1.0
192.168.100.51,192.168.100.50,63541,80,6,Benign,0.2602 seconds,1.0
192.168.100.51,192.168.100.50,63542,80,6,Benign,0.2610 seconds,1.0
192.168.100.51,192.168.100.50,63543,80,6,Benign,0.2366 seconds,1.0
192.168.100.51,192.168.100.50,63544,80,6,Benign,0.3370 seconds,1.0
192.168.100.51,192.168.100.50,63545,80,6,Benign,0.4981 seconds,1.0
192.168.100.51,192.168.100.50,63547,80,6,Benign,0.3321 seconds,1.0
192.168.100.51,192.168.100.50,63546,80,6,Benign,0.2335 seconds,1.0
192.168.100.51,192.168.100.50,63548,80,6,Benign,0.2360 seconds,1.0
192.168.100.51,192.168.100.50,63549,80,6,Benign,0.2559 seconds,1.0
192.168.100.50,192.168.100.51,80,63586,6,Benign,0.2695 seconds,1.0
192.168.100.51,192.168.100.50,63602,80,6,Benign,0.2358 seconds,1.0
192.168.100.50,192.168.100.51,80,63609,6,Benign,0.2537 seconds,1.0
192.168.100.51,192.168.100.50,63610,80,6,Benign,0.2731 seconds,1.0
192.168.100.51,192.168.100.50,63614,80,6,Benign,0.2514 seconds,1.0
192.168.100.51,192.168.100.50,63621,80,6,Benign,0.2494 seconds,1.0
192.168.100.51,192.168.100.50,63630,80,6,Benign,0.2557 seconds,1.0
192.168.100.50,192.168.100.51,80,63629,6,Benign,0.2501 seconds,1.0
192.168.100.51,192.168.100.50,63631,80,6,Benign,0.2476 seconds,1.0
192.168.100.51,192.168.100.50,63636,80,6,Benign,0.2520 seconds,1.0
192.168.100.51,192.168.100.50,63638,80,6,Benign,0.2536 seconds,1.0
192.168.100.50,192.168.100.51,80,63638,6,Benign,0.2555 seconds,1.0
192.168.100.51,192.168.100.50,63644,80,6,Benign,0.2471 seconds,1.0
192.168.100.51,192.168.100.50,63645,80,6,Benign,0.2432 seconds,1.0
192.168.100.51,192.168.100.50,63667,80,6,Benign,0.2296 seconds,1.0
192.168.100.51,192.168.100.50,63697,80,6,Benign,0.2716 seconds,1.0
192.168.100.51,192.168.100.50,63699,80,6,Benign,0.2461 seconds,1.0
192.168.100.51,192.168.100.50,63720,80,6,Benign,0.2797 seconds,1.0
192.168.100.51,192.168.100.50,63729,80,6,Benign,0.2305 seconds,1.0
192.168.100.51,192.168.100.50,63728,80,6,Benign,0.2521 seconds,1.0
192.168.100.51,192.168.100.50,63732,80,6,Benign,0.2691 seconds,1.0
192.168.100.51,192.168.100.50,63733,80,6,Benign,0.2638 seconds,1.0
192.168.100.51,192.168.100.50,63734,80,6,Benign,0.2476 seconds,1.0
192.168.100.51,192.168.100.50,63735,80,6,Benign,0.2740 seconds,1.0
192.168.100.51,192.168.100.50,63736,80,6,Benign,0.2387 seconds,1.0
192.168.100.51,192.168.100.50,63737,80,6,Benign,0.2458 seconds,1.0
192.168.100.51,192.168.100.50,63738,80,6,Benign,0.2311 seconds,1.0
192.168.100.51,192.168.100.50,63739,80,6,Benign,0.2433 seconds,1.0
192.168.100.51,192.168.100.50,63740,80,6,Benign,0.2287 seconds,1.0
192.168.100.51,192.168.100.50,63741,80,6,Benign,0.2336 seconds,1.0
192.168.100.51,192.168.100.50,63746,80,6,Benign,0.4208 seconds,1.0
192.168.100.51,192.168.100.50,63749,80,6,Benign,0.3910 seconds,1.0
192.168.100.51,192.168.100.50,63794,80,6,Benign,0.4215 seconds,1.0
192.168.100.51,192.168.100.50,63786,80,6,Benign,0.4113 seconds,1.0
192.168.100.51,192.168.100.50,63795,80,6,Benign,0.4031 seconds,1.0
192.168.100.51,192.168.100.50,63796,80,6,Benign,0.2586 seconds,1.0
192.168.100.51,192.168.100.50,63797,80,6,Benign,0.2441 seconds,1.0
192.168.100.51,192.168.100.50,63798,80,6,Benign,0.4706 seconds,1.0
192.168.100.51,192.168.100.50,63806,80,6,Benign,0.3583 seconds,1.0
192.168.100.51,192.168.100.50,63812,80,6,Benign,0.4219 seconds,1.0
192.168.100.51,192.168.100.50,63807,80,6,Benign,0.2833 seconds,1.0
192.168.100.51,192.168.100.50,63813,80,6,Benign,0.2483 seconds,1.0
192.168.100.51,192.168.100.50,63814,80,6,Benign,0.4077 seconds,1.0
192.168.100.51,192.168.100.50,63815,80,6,Benign,0.3016 seconds,1.0
192.168.100.51,192.168.100.50,63816,80,6,Benign,0.2499 seconds,1.0
192.168.100.51,192.168.100.50,63817,80,6,Benign,0.5035 seconds,1.0
192.168.100.51,192.168.100.50,63818,80,6,Benign,0.2688 seconds,1.0
192.168.100.51,192.168.100.50,63832,80,6,Benign,0.2997 seconds,1.0
192.168.100.50,192.168.100.51,80,63850,6,Benign,0.3241 seconds,1.0
192.168.100.50,192.168.100.51,80,63858,6,Benign,0.4596 seconds,1.0
192.168.100.50,192.168.100.51,80,63858,6,Benign,0.6067 seconds,1.0
192.168.100.51,192.168.100.50,63859,80,6,Benign,0.4928 seconds,1.0
192.168.100.51,192.168.100.50,63876,80,6,Benign,0.5531 seconds,1.0
192.168.100.51,192.168.100.50,63887,80,6,Benign,0.3946 seconds,1.0
192.168.100.50,192.168.100.51,80,63891,6,Benign,0.3337 seconds,1.0
