src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
192.168.100.51,192.168.100.50,62075,21,6,Benign,0.2331 seconds,0.9077777777777779
192.168.100.50,192.168.100.51,21,62075,6,Benign,0.2045 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,62071,21,6,Benign,0.2486 seconds,0.9033333333333333
192.168.100.51,192.168.100.50,62071,21,6,Benign,0.1977 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,62070,21,6,Benign,0.2337 seconds,0.9033333333333333
192.168.100.51,192.168.100.50,62070,21,6,Benign,0.2049 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62070,21,6,Benign,0.2134 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,62072,21,6,Benign,0.1813 seconds,0.8983333333333333
192.168.100.51,192.168.100.50,62072,21,6,Benign,0.1914 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62077,21,6,Benign,0.1802 seconds,0.9144444444444446
192.168.100.51,192.168.100.50,62077,21,6,Benign,0.1953 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,62078,21,6,Benign,0.1878 seconds,0.9122222222222223
192.168.100.51,192.168.100.50,62078,21,6,Benign,0.2102 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62074,21,6,Benign,0.1960 seconds,0.9122222222222223
192.168.100.51,192.168.100.50,62074,21,6,Benign,0.1849 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62073,21,6,Benign,0.1944 seconds,0.9122222222222223
192.168.100.51,192.168.100.50,62073,21,6,Benign,0.2104 seconds,0.9698018749587379
192.168.100.51,192.168.100.50,62079,21,6,Benign,0.1904 seconds,0.9144444444444446
192.168.100.51,192.168.100.50,62079,21,6,Benign,0.2018 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62079,21,6,Benign,0.1970 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62086,21,6,Benign,0.2134 seconds,0.8933333333333333
192.168.100.51,192.168.100.50,62086,21,6,Benign,0.2021 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,62082,21,6,Benign,0.2069 seconds,0.9077777777777779
192.168.100.51,192.168.100.50,62082,21,6,Benign,0.1965 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62081,21,6,Benign,0.2291 seconds,0.9033333333333333
192.168.100.51,192.168.100.50,62081,21,6,Benign,0.1903 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62087,21,6,Benign,0.2154 seconds,0.8983333333333333
192.168.100.51,192.168.100.50,62087,21,6,Benign,0.1976 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,62083,21,6,Benign,0.1894 seconds,0.9122222222222223
192.168.100.51,192.168.100.50,62083,21,6,Benign,0.2163 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,62084,21,6,Benign,0.1853 seconds,0.9122222222222223
192.168.100.51,192.168.100.50,62084,21,6,Benign,0.2055 seconds,0.9774489337822672
192.168.100.51,192.168.100.50,62089,21,6,Benign,0.1803 seconds,0.9522222222222223
192.168.100.51,192.168.100.50,62089,21,6,Benign,0.1911 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,62080,21,6,Benign,0.1949 seconds,0.9122222222222223
192.168.100.51,192.168.100.50,62080,21,6,Benign,0.2016 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62085,21,6,Benign,0.1938 seconds,0.9122222222222223
192.168.100.51,192.168.100.50,62085,21,6,Benign,0.2079 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62088,21,6,Benign,0.1881 seconds,0.9411111111111112
192.168.100.51,192.168.100.50,62088,21,6,Benign,0.1969 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62090,21,6,Benign,0.2060 seconds,0.9033333333333333
192.168.100.51,192.168.100.50,62090,21,6,Benign,0.1961 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,62092,21,6,Benign,0.1898 seconds,0.9033333333333333
192.168.100.51,192.168.100.50,62092,21,6,Benign,0.1871 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62094,21,6,Benign,0.2994 seconds,0.9033333333333333
192.168.100.51,192.168.100.50,62094,21,6,Benign,0.3947 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,62091,21,6,Benign,0.1984 seconds,0.9122222222222223
192.168.100.50,192.168.100.51,21,62091,6,Benign,0.2092 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,62097,21,6,Benign,0.1874 seconds,0.9122222222222223
192.168.100.51,192.168.100.50,62095,21,6,Benign,0.2153 seconds,0.9144444444444446
192.168.100.51,192.168.100.50,62097,21,6,Benign,0.2003 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,62095,21,6,Benign,0.2021 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,62096,21,6,Benign,0.2085 seconds,0.908888888888889
192.168.100.51,192.168.100.50,62096,21,6,Benign,0.2119 seconds,0.9748018749587379
192.168.100.51,192.168.100.50,62098,21,6,Benign,0.1836 seconds,0.9111111111111112
192.168.100.51,192.168.100.50,62098,21,6,Benign,0.2158 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,62093,21,6,Benign,0.1944 seconds,0.9544444444444445
192.168.100.50,192.168.100.51,21,62093,6,Benign,0.1962 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,62099,21,6,Benign,0.2010 seconds,0.9411111111111112
192.168.100.51,192.168.100.50,62099,21,6,Benign,0.2926 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62104,21,6,Benign,0.6743 seconds,0.8983333333333333
192.168.100.51,192.168.100.50,62104,21,6,Benign,0.5011 seconds,0.9774489337822672
192.168.100.51,192.168.100.50,62104,21,6,Benign,0.2676 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,62103,21,6,Benign,0.3746 seconds,0.9122222222222223
192.168.100.51,192.168.100.50,62103,21,6,Benign,0.2501 seconds,0.9827822671156005
192.168.100.51,192.168.100.50,62105,21,6,Benign,0.2515 seconds,0.9144444444444446
192.168.100.51,192.168.100.50,62105,21,6,Benign,0.2569 seconds,0.9698018749587379
192.168.100.51,192.168.100.50,62109,21,6,Benign,0.2562 seconds,0.8933333333333333
192.168.100.51,192.168.100.50,62109,21,6,Benign,0.2731 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62106,21,6,Benign,0.2430 seconds,0.9033333333333333
192.168.100.51,192.168.100.50,62106,21,6,Benign,0.2701 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62108,21,6,Benign,0.3424 seconds,0.9111111111111112
192.168.100.51,192.168.100.50,62108,21,6,Benign,0.2991 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62110,21,6,Benign,0.2618 seconds,0.8983333333333333
192.168.100.51,192.168.100.50,62110,21,6,Benign,0.2575 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,62111,21,6,Benign,0.2772 seconds,0.8983333333333333
192.168.100.51,192.168.100.50,62111,21,6,Benign,0.2608 seconds,0.970135208292071
192.168.100.51,192.168.100.50,62107,21,6,Benign,0.2590 seconds,0.9211111111111112
192.168.100.51,192.168.100.50,62107,21,6,Benign,0.2490 seconds,0.9734685416254043
