src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
140.82.112.21,192.168.100.50,443,38430,6,Benign,0.2432 seconds,0.9916666666666667
140.82.112.21,192.168.100.50,443,38430,6,Benign,0.2272 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,50786,80,6,Benign,0.2789 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50787,80,6,Benign,0.2164 seconds,0.9933333333333333
192.168.100.51,192.168.100.50,50788,80,6,Benign,0.2158 seconds,0.9933333333333333
192.168.100.51,192.168.100.50,50789,80,6,Benign,0.2142 seconds,0.9933333333333333
192.168.100.51,192.168.100.50,50790,80,6,Benign,0.2229 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50791,80,6,Benign,0.2424 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50792,80,6,Benign,0.2212 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50793,80,6,Benign,0.2064 seconds,0.9916666666666667
192.168.100.51,192.168.100.50,50794,80,6,Benign,0.2340 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50796,80,6,Benign,0.2510 seconds,0.9916666666666667
192.168.100.51,192.168.100.50,50795,80,6,Benign,0.1974 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50797,80,6,Benign,0.1951 seconds,0.9916666666666667
192.168.100.51,192.168.100.50,50799,80,6,Benign,0.2129 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50798,80,6,Benign,0.2021 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50800,80,6,Benign,0.1941 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50802,80,6,Benign,0.2060 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50801,80,6,Benign,0.2290 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50805,80,6,Benign,0.1941 seconds,0.9966666666666667
192.168.100.50,192.168.100.51,80,50819,6,Benign,0.2322 seconds,0.9850044893378227
192.168.100.51,192.168.100.50,50821,80,6,Benign,0.2112 seconds,0.9866666666666667
192.168.100.51,192.168.100.50,50846,80,6,Benign,0.2555 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50845,80,6,Benign,0.2177 seconds,0.9866666666666667
192.168.100.51,192.168.100.50,50847,80,6,Benign,0.2161 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50849,80,6,Benign,0.2075 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50864,80,6,Benign,0.2082 seconds,0.9716666666666667
192.168.100.51,192.168.100.50,50866,80,6,Benign,0.2342 seconds,0.9933333333333333
192.168.100.51,192.168.100.50,50884,80,6,Benign,0.2115 seconds,0.9866666666666667
192.168.100.51,192.168.100.50,50885,80,6,Benign,0.2064 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50886,80,6,Benign,0.2272 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50887,80,6,Benign,0.1856 seconds,0.9916666666666667
192.168.100.51,192.168.100.50,50919,80,6,Benign,0.1947 seconds,0.9922222222222221
192.168.100.51,192.168.100.50,50920,80,6,Benign,0.2184 seconds,0.9966666666666667
192.168.100.50,192.168.100.51,80,50930,6,Benign,0.2136 seconds,0.9850044893378227
192.168.100.51,192.168.100.50,50930,80,6,Benign,0.2055 seconds,0.9800044893378227
192.168.100.51,192.168.100.50,50931,80,6,Benign,0.2071 seconds,0.9866666666666667
