src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
20.205.243.168,192.168.100.50,443,32844,6,Benign,0.0154 seconds,0.9999040961265564
20.205.243.168,192.168.100.50,443,32844,6,Benign,0.0152 seconds,0.999649167060852
192.168.100.50,34.107.243.93,55198,443,6,Benign,0.0134 seconds,0.9998733997344971
192.168.100.50,140.82.112.21,58586,443,6,Benign,0.0218 seconds,0.9999045729637146
140.82.112.21,192.168.100.50,443,58586,6,Benign,0.0169 seconds,0.9997928142547607
192.168.100.50,13.89.179.8,45434,443,6,Benign,0.0085 seconds,0.9999343156814575
192.168.100.49,224.0.0.251,5353,5353,17,Benign,0.0100 seconds,0.9999647736549377
192.168.100.50,192.168.100.1,43418,53,17,Benign,0.0126 seconds,0.9999821782112122
192.168.100.51,192.168.100.255,137,137,17,Benign,0.0138 seconds,0.9994118809700012
192.168.100.52,224.0.0.251,5353,5353,17,Benign,0.0053 seconds,0.9395731687545776
192.168.100.50,34.107.243.93,55198,443,6,Benign,0.0055 seconds,0.9999647736549377
192.168.100.50,192.168.100.1,51654,53,17,Benign,0.0138 seconds,0.999968409538269
192.168.100.50,192.168.100.1,55496,53,17,Benign,0.0144 seconds,0.9999060034751892
192.168.100.51,224.0.0.251,5353,5353,17,DoS,0.0136 seconds,0.9999901056289673,0.9999901056289673,2.252547346870415e-06,3.730456683115335e-06,1.6448208270958276e-06,2.2116857962828362e-06
192.168.100.50,192.168.100.1,47552,53,17,Benign,0.0044 seconds,0.999968409538269
192.168.100.52,224.0.0.251,5353,5353,17,DoS,0.0234 seconds,0.9999904632568359,0.9999904632568359,2.1786790966871195e-06,1.8927879636976286e-06,3.3152430205518613e-06,2.1778128029836807e-06
192.168.100.50,192.168.100.1,53623,53,17,Benign,0.0114 seconds,0.9999331831932068
192.168.100.50,192.168.100.1,50047,53,17,Benign,0.0192 seconds,0.9999755620956421
192.168.100.49,224.0.0.251,5353,5353,17,Benign,0.0063 seconds,0.9402099847793579
