src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
192.168.100.51,192.168.100.50,56739,80,6,Benign,0.0069 seconds,0.9999702572822571
192.168.100.51,192.168.100.50,56740,80,6,Benign,0.0037 seconds,0.9998800158500671
192.168.100.51,192.168.100.50,56741,80,6,Benign,0.0036 seconds,0.999923050403595
192.168.100.51,192.168.100.50,56742,80,6,Benign,0.0038 seconds,0.9999107718467712
192.168.100.51,192.168.100.50,56743,80,6,Benign,0.0039 seconds,0.9998797178268433
192.168.100.51,192.168.100.50,56744,80,6,Benign,0.0038 seconds,0.9999123811721802
192.168.100.51,192.168.100.50,56745,80,6,Benign,0.0039 seconds,0.9999105930328369
192.168.100.51,192.168.100.50,56746,80,6,Benign,0.0056 seconds,0.9999105930328369
192.168.100.51,192.168.100.50,56747,80,6,Benign,0.0051 seconds,0.9998558163642883
192.168.100.51,192.168.100.50,56749,80,6,Benign,0.0048 seconds,0.9999105930328369
192.168.100.51,192.168.100.50,56748,80,6,Benign,0.0054 seconds,0.999933660030365
192.168.100.51,192.168.100.50,56750,80,6,Benign,0.0048 seconds,0.999815821647644
192.168.100.51,192.168.100.50,56751,80,6,Benign,0.0052 seconds,0.9999105930328369
192.168.100.51,192.168.100.50,56752,80,6,Benign,0.0052 seconds,0.9999105930328369
192.168.100.51,192.168.100.50,56754,80,6,Benign,0.0036 seconds,0.9999105930328369
192.168.100.51,192.168.100.50,56753,80,6,Benign,0.0036 seconds,0.9999348521232605
192.168.100.51,192.168.100.50,56755,80,6,Benign,0.0036 seconds,0.9999105930328369
192.168.100.51,192.168.100.50,56757,80,6,Benign,0.0037 seconds,0.9999403357505798
192.168.100.51,192.168.100.50,56756,80,6,Benign,0.0036 seconds,0.9999372363090515
192.168.100.50,192.168.100.51,80,56757,6,Benign,0.0062 seconds,0.9999040961265564
192.168.100.51,192.168.100.50,56758,80,6,Benign,0.0045 seconds,0.9999105930328369
192.168.100.51,192.168.100.50,56760,80,6,Benign,0.0052 seconds,0.9999348521232605
192.168.100.51,192.168.100.50,56759,80,6,Benign,0.0036 seconds,0.9999366402626038
192.168.100.51,192.168.100.50,56761,80,6,Benign,0.0042 seconds,0.9999105930328369
192.168.100.51,192.168.100.50,56762,80,6,Benign,0.0047 seconds,0.9999105930328369
192.168.100.51,192.168.100.50,56763,80,6,Benign,0.0037 seconds,0.9998971223831177
192.168.100.51,192.168.100.50,56765,80,6,Benign,0.0036 seconds,0.9998558163642883
192.168.100.51,192.168.100.50,56764,80,6,Benign,0.0036 seconds,0.9999348521232605
192.168.100.51,192.168.100.50,56766,80,6,Benign,0.0037 seconds,0.9999197125434875
192.168.100.50,192.168.100.51,80,56766,6,Benign,0.0036 seconds,0.999880850315094
192.168.100.51,192.168.100.50,56768,80,6,Benign,0.0037 seconds,0.9998616576194763
192.168.100.51,192.168.100.50,56767,80,6,Benign,0.0036 seconds,0.9999123811721802
192.168.100.51,192.168.100.50,56769,80,6,Benign,0.0036 seconds,0.9998747110366821
192.168.100.51,192.168.100.50,56771,80,6,Benign,0.0041 seconds,0.9999105930328369
192.168.100.51,192.168.100.50,56770,80,6,Benign,0.0036 seconds,0.9999348521232605
192.168.100.51,192.168.100.50,56772,80,6,Benign,0.0037 seconds,0.9999105930328369
192.168.100.51,192.168.100.50,56773,80,6,Benign,0.0038 seconds,0.9999105930328369
