src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
192.168.100.50,34.107.243.93,59488,443,6,Benign,0.4950 seconds,1.0
192.168.100.50,140.82.114.22,43412,443,6,Benign,0.3785 seconds,1.0
140.82.114.22,192.168.100.50,443,43412,6,Benign,0.3080 seconds,1.0
140.82.114.22,192.168.100.50,443,43412,6,Benign,0.3162 seconds,1.0
192.168.100.50,140.82.113.22,56718,443,6,Benign,0.5432 seconds,1.0
140.82.113.22,192.168.100.50,443,56718,6,Benign,0.5023 seconds,1.0
192.168.100.50,140.82.114.21,40798,443,6,Benign,0.3158 seconds,1.0
140.82.114.21,192.168.100.50,443,40798,6,Benign,0.4466 seconds,1.0
140.82.114.21,192.168.100.50,443,40798,6,Benign,0.4939 seconds,1.0
192.168.100.50,52.175.140.176,56370,443,6,Benign,0.3389 seconds,1.0
52.175.140.176,192.168.100.50,443,56370,6,Benign,0.4106 seconds,1.0
192.168.100.50,140.82.112.22,49574,443,6,Benign,0.3716 seconds,1.0
140.82.112.22,192.168.100.50,443,49574,6,Benign,0.3251 seconds,1.0
192.168.100.50,140.82.112.22,38202,443,6,Benign,0.3310 seconds,1.0
140.82.112.22,192.168.100.50,443,38202,6,Benign,0.3373 seconds,1.0
140.82.112.22,192.168.100.50,443,38202,6,Benign,0.3916 seconds,1.0
192.168.100.50,140.82.112.22,57170,443,6,Benign,0.3403 seconds,1.0
140.82.112.22,192.168.100.50,443,57170,6,Benign,0.3612 seconds,1.0
192.168.100.50,34.107.243.93,59488,443,6,Benign,0.3290 seconds,1.0
192.168.100.50,20.189.173.16,53270,443,6,Benign,0.3205 seconds,1.0
192.168.100.50,192.168.100.1,32577,53,17,Benign,0.3320 seconds,1.0
192.168.100.50,192.168.100.1,60589,53,17,Benign,0.3248 seconds,1.0
192.168.100.50,192.168.100.1,24910,53,17,Benign,0.3512 seconds,1.0
192.168.100.50,192.168.100.1,51434,53,17,Benign,0.3148 seconds,1.0
192.168.100.50,140.82.112.22,47998,443,6,Benign,0.3112 seconds,1.0
140.82.112.22,192.168.100.50,443,47998,6,Benign,0.3259 seconds,1.0
140.82.112.22,192.168.100.50,443,47998,6,Benign,0.3656 seconds,1.0
192.168.100.49,224.0.0.251,5353,5353,17,Benign,0.3794 seconds,1.0
192.168.100.50,140.82.113.22,60632,443,6,Benign,0.3266 seconds,1.0
140.82.113.22,192.168.100.50,443,60632,6,Benign,0.2851 seconds,1.0
140.82.113.22,192.168.100.50,443,60632,6,Benign,0.3743 seconds,1.0
192.168.100.50,192.168.100.1,44656,53,17,Benign,0.4151 seconds,1.0
192.168.100.50,192.168.100.1,39361,53,17,Benign,0.6085 seconds,1.0
192.168.100.50,192.168.100.1,46146,53,17,Benign,0.7205 seconds,1.0
192.168.100.51,192.168.100.50,63291,80,6,Benign,0.6749 seconds,1.0
192.168.100.51,192.168.100.50,63395,80,6,Benign,0.5083 seconds,1.0
192.168.100.50,192.168.100.1,54863,53,17,Benign,0.6158 seconds,1.0
192.168.100.50,192.168.100.1,20750,53,17,Benign,0.6016 seconds,1.0
192.168.100.50,192.168.100.1,60124,53,17,Benign,0.6827 seconds,1.0
192.168.100.51,192.168.100.50,64424,80,6,DoS,0.6643 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.50,192.168.100.1,35222,53,17,Benign,0.3977 seconds,1.0
192.168.100.51,192.168.100.50,63607,80,6,Benign,0.4135 seconds,1.0
192.168.100.51,192.168.100.50,63606,80,6,Benign,0.4137 seconds,1.0
192.168.100.51,192.168.100.50,63605,80,6,Benign,0.4584 seconds,1.0
192.168.100.51,192.168.100.50,63615,80,6,Benign,0.4508 seconds,1.0
192.168.100.51,192.168.100.50,63614,80,6,DoS,0.5538 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.51,192.168.100.50,63601,80,6,Benign,0.3863 seconds,1.0
192.168.100.51,192.168.100.50,63618,80,6,DoS,0.5000 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.51,192.168.100.50,63617,80,6,DoS,0.6169 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.51,192.168.100.50,63612,80,6,DoS,0.5973 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.51,192.168.100.50,63616,80,6,DoS,0.6409 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.51,192.168.100.50,62761,80,6,Benign,0.4677 seconds,1.0
192.168.100.51,192.168.100.50,62731,80,6,Benign,0.3377 seconds,1.0
192.168.100.51,192.168.100.50,64435,80,6,Benign,0.5763 seconds,1.0
192.168.100.50,192.168.100.1,39142,53,17,Benign,0.7079 seconds,1.0
192.168.100.51,192.168.100.50,50266,80,6,Benign,0.5240 seconds,1.0
192.168.100.51,192.168.100.50,50020,80,6,Benign,0.3663 seconds,1.0
192.168.100.51,192.168.100.50,64444,80,6,Benign,0.5520 seconds,1.0
192.168.100.51,192.168.100.50,64046,80,6,Benign,0.4186 seconds,1.0
192.168.100.50,20.189.173.16,53270,443,6,Benign,0.4259 seconds,1.0
192.168.100.50,192.168.100.1,62663,53,17,Benign,0.3957 seconds,1.0
192.168.100.50,192.168.100.1,53769,53,17,Benign,0.4247 seconds,1.0
192.168.100.50,192.168.100.1,48840,53,17,Benign,0.5297 seconds,1.0
