src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
192.168.100.51,192.168.100.50,62436,80,6,Benign,0.4482 seconds,1.0
192.168.100.51,192.168.100.50,61047,80,6,Benign,0.2741 seconds,1.0
192.168.100.51,192.168.100.50,61046,80,6,Benign,0.3619 seconds,1.0
192.168.100.51,192.168.100.50,62413,80,6,Benign,0.3639 seconds,1.0
192.168.100.51,192.168.100.50,61045,80,6,Benign,0.4353 seconds,1.0
192.168.100.51,192.168.100.50,61049,80,6,Benign,0.3499 seconds,1.0
192.168.100.51,192.168.100.50,61044,80,6,Benign,0.3053 seconds,1.0
192.168.100.51,192.168.100.50,61041,80,6,Benign,0.2641 seconds,1.0
192.168.100.51,192.168.100.50,61042,80,6,Benign,0.3495 seconds,1.0
192.168.100.51,192.168.100.50,61040,80,6,Benign,0.2694 seconds,1.0
192.168.100.51,192.168.100.50,61039,80,6,Benign,0.2923 seconds,1.0
192.168.100.51,192.168.100.50,61038,80,6,Benign,0.2528 seconds,1.0
192.168.100.51,192.168.100.50,61043,80,6,Benign,0.2624 seconds,1.0
192.168.100.51,192.168.100.50,61053,80,6,Benign,0.2686 seconds,1.0
192.168.100.51,192.168.100.50,61052,80,6,Benign,0.2596 seconds,1.0
192.168.100.51,192.168.100.50,61051,80,6,Benign,0.2658 seconds,1.0
192.168.100.51,192.168.100.50,61050,80,6,Benign,0.3003 seconds,1.0
192.168.100.51,192.168.100.50,61048,80,6,Benign,0.2809 seconds,1.0
192.168.100.51,192.168.100.50,62437,80,6,Benign,0.2968 seconds,1.0
192.168.100.51,192.168.100.50,62444,80,6,Benign,0.2736 seconds,1.0
192.168.100.51,192.168.100.50,62435,80,6,Benign,0.3524 seconds,1.0
192.168.100.50,192.168.100.51,21,62833,6,Benign,0.4234 seconds,1.0
192.168.100.51,192.168.100.50,62833,21,6,Benign,0.2955 seconds,1.0
192.168.100.50,192.168.100.51,21,62829,6,Benign,0.3016 seconds,1.0
192.168.100.51,192.168.100.50,62829,21,6,Benign,0.2739 seconds,1.0
192.168.100.50,192.168.100.51,21,62828,6,Benign,0.2892 seconds,1.0
192.168.100.51,192.168.100.50,62828,21,6,Benign,0.2808 seconds,1.0
