src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
140.82.112.22,192.168.100.50,443,40368,6,Benign,0.3142 seconds,1.0
140.82.112.22,192.168.100.50,443,40368,6,Benign,0.2642 seconds,1.0
192.168.100.51,192.168.100.50,63249,53,6,Benign,0.3007 seconds,1.0
192.168.100.51,192.168.100.50,63250,143,6,Benign,0.3073 seconds,1.0
192.168.100.51,192.168.100.50,63251,23,6,Benign,0.2696 seconds,1.0
192.168.100.51,192.168.100.50,63253,995,6,Benign,0.2480 seconds,1.0
192.168.100.51,192.168.100.50,63254,113,6,Benign,0.2839 seconds,1.0
192.168.100.51,192.168.100.50,63255,554,6,Benign,0.2872 seconds,1.0
192.168.100.51,192.168.100.50,63256,993,6,Benign,0.2524 seconds,1.0
192.168.100.51,192.168.100.50,63258,445,6,Benign,0.3101 seconds,1.0
192.168.100.51,192.168.100.50,63259,3389,6,Benign,0.3810 seconds,1.0
192.168.100.51,192.168.100.50,63260,1720,6,Benign,0.3297 seconds,1.0
192.168.100.51,192.168.100.50,63262,199,6,Benign,0.2830 seconds,1.0
192.168.100.51,192.168.100.50,63263,8888,6,Benign,0.2587 seconds,1.0
192.168.100.51,192.168.100.50,63264,256,6,Benign,0.2772 seconds,1.0
192.168.100.51,192.168.100.50,63265,443,6,Benign,0.2626 seconds,1.0
192.168.100.51,192.168.100.50,63266,25,6,Benign,0.2679 seconds,1.0
192.168.100.51,192.168.100.50,63267,139,6,Benign,0.2692 seconds,1.0
192.168.100.51,192.168.100.50,63268,1025,6,Benign,0.2467 seconds,1.0
192.168.100.51,192.168.100.50,63269,8080,6,Benign,0.2400 seconds,1.0
192.168.100.51,192.168.100.50,63270,3306,6,Benign,0.2895 seconds,1.0
192.168.100.51,192.168.100.50,63271,135,6,Benign,0.2640 seconds,1.0
192.168.100.51,192.168.100.50,63273,110,6,Benign,0.2615 seconds,1.0
192.168.100.51,192.168.100.50,63274,5900,6,Benign,0.2586 seconds,1.0
192.168.100.51,192.168.100.50,63275,1723,6,Benign,0.2616 seconds,1.0
192.168.100.51,192.168.100.50,63276,587,6,Benign,0.2955 seconds,1.0
192.168.100.51,192.168.100.50,63277,5566,6,Benign,0.3118 seconds,1.0
192.168.100.51,192.168.100.50,63278,616,6,Benign,0.3619 seconds,1.0
192.168.100.51,192.168.100.50,63279,4662,6,Benign,0.2883 seconds,1.0
192.168.100.51,192.168.100.50,63280,8701,6,Benign,0.3704 seconds,1.0
192.168.100.51,192.168.100.50,63281,9099,6,Benign,0.2825 seconds,1.0
192.168.100.51,192.168.100.50,63282,2004,6,Benign,0.2605 seconds,1.0
192.168.100.51,192.168.100.50,63283,6389,6,Benign,0.2596 seconds,1.0
192.168.100.51,192.168.100.50,63284,5963,6,Benign,0.3011 seconds,1.0
192.168.100.51,192.168.100.50,63285,18101,6,Benign,0.4045 seconds,1.0
192.168.100.51,192.168.100.50,63286,3404,6,Benign,0.4090 seconds,1.0
192.168.100.51,192.168.100.50,63287,6565,6,Benign,0.3497 seconds,1.0
192.168.100.51,192.168.100.50,63288,9502,6,Benign,0.2951 seconds,1.0
192.168.100.51,192.168.100.50,63289,264,6,Benign,0.2589 seconds,1.0
192.168.100.51,192.168.100.50,63290,49154,6,Benign,0.2623 seconds,1.0
192.168.100.51,192.168.100.50,63291,32776,6,Benign,0.2604 seconds,1.0
192.168.100.51,192.168.100.50,63292,1111,6,Benign,0.3276 seconds,1.0
192.168.100.51,192.168.100.50,63293,5904,6,Benign,0.3491 seconds,1.0
192.168.100.51,192.168.100.50,63294,1066,6,Benign,0.3041 seconds,1.0
192.168.100.51,192.168.100.50,63295,5985,6,Benign,0.2932 seconds,1.0
192.168.100.51,192.168.100.50,63296,15000,6,Benign,0.2794 seconds,1.0
192.168.100.51,192.168.100.50,63297,1130,6,Benign,0.2585 seconds,1.0
192.168.100.51,192.168.100.50,63298,3367,6,Benign,0.2437 seconds,1.0
192.168.100.51,192.168.100.50,63299,2604,6,Benign,0.2768 seconds,1.0
192.168.100.51,192.168.100.50,63300,10012,6,Benign,0.2799 seconds,1.0
192.168.100.51,192.168.100.50,63301,1097,6,Benign,0.2781 seconds,1.0
192.168.100.51,192.168.100.50,63302,18988,6,Benign,0.2874 seconds,1.0
192.168.100.51,192.168.100.50,63303,19780,6,Benign,0.2636 seconds,1.0
192.168.100.51,192.168.100.50,63304,2383,6,Benign,0.2589 seconds,1.0
192.168.100.51,192.168.100.50,63305,33,6,Benign,0.2676 seconds,1.0
192.168.100.51,192.168.100.50,63306,1164,6,Benign,0.2564 seconds,1.0
192.168.100.51,192.168.100.50,63307,5009,6,Benign,0.2711 seconds,1.0
192.168.100.51,192.168.100.50,63308,6101,6,Benign,0.2599 seconds,1.0
192.168.100.51,192.168.100.50,63309,64680,6,Benign,0.3104 seconds,1.0
192.168.100.51,192.168.100.50,63310,15004,6,Benign,0.3500 seconds,1.0
192.168.100.51,192.168.100.50,63311,6792,6,Benign,0.3124 seconds,1.0
192.168.100.51,192.168.100.50,63312,10617,6,Benign,0.2974 seconds,1.0
192.168.100.51,192.168.100.50,63313,541,6,Benign,0.2538 seconds,1.0
192.168.100.51,192.168.100.50,63314,5802,6,Benign,0.3014 seconds,1.0
192.168.100.51,192.168.100.50,63315,26214,6,Benign,0.2710 seconds,1.0
192.168.100.51,192.168.100.50,63316,7625,6,Benign,0.2643 seconds,1.0
192.168.100.51,192.168.100.50,63577,1086,6,Benign,0.2632 seconds,1.0
192.168.100.51,192.168.100.50,63884,1083,6,Benign,0.2504 seconds,1.0
192.168.100.51,192.168.100.50,64124,48080,6,Benign,0.2395 seconds,1.0
192.168.100.51,192.168.100.50,64125,7800,6,Benign,0.2472 seconds,1.0
192.168.100.51,192.168.100.50,64249,445,6,Benign,0.2973 seconds,1.0
192.168.100.51,192.168.100.50,64955,2366,6,Benign,0.2497 seconds,1.0
192.168.100.51,192.168.100.50,65247,17988,6,Benign,0.2786 seconds,1.0
192.168.100.51,192.168.100.50,65499,32774,6,Benign,0.2650 seconds,1.0
192.168.100.51,192.168.100.50,49386,2009,6,Benign,0.2773 seconds,1.0
192.168.100.51,192.168.100.50,49711,999,6,Benign,0.2991 seconds,1.0
192.168.100.51,192.168.100.50,49865,53,6,Benign,0.3494 seconds,1.0
192.168.100.51,192.168.100.50,50103,1124,6,Benign,0.3609 seconds,1.0
192.168.100.51,192.168.100.50,50379,9877,6,Benign,0.3565 seconds,1.0
192.168.100.51,192.168.100.50,50547,2045,6,Benign,0.3271 seconds,1.0
192.168.100.51,192.168.100.50,51019,4129,6,Benign,0.3245 seconds,1.0
192.168.100.51,192.168.100.50,51108,995,6,Benign,0.2516 seconds,1.0
192.168.100.51,192.168.100.50,51473,2301,6,Benign,0.2899 seconds,1.0
192.168.100.51,192.168.100.50,51474,25734,6,Benign,0.2562 seconds,1.0
192.168.100.51,192.168.100.50,51824,1914,6,Benign,0.2465 seconds,1.0
192.168.100.51,192.168.100.50,52107,1720,6,Benign,0.2577 seconds,1.0
192.168.100.51,192.168.100.50,52508,1029,6,Benign,0.2887 seconds,1.0
192.168.100.51,192.168.100.50,52819,3404,6,Benign,0.2659 seconds,1.0
192.168.100.51,192.168.100.50,53107,280,6,Benign,0.2453 seconds,1.0
192.168.100.51,192.168.100.50,53703,9207,6,Benign,0.2620 seconds,1.0
192.168.100.51,192.168.100.50,53756,6567,6,Benign,0.2758 seconds,1.0
192.168.100.51,192.168.100.50,54102,458,6,Benign,0.2462 seconds,1.0
192.168.100.51,192.168.100.50,54145,1720,6,Benign,0.2405 seconds,1.0
192.168.100.51,192.168.100.50,54438,1500,6,Benign,0.3578 seconds,1.0
192.168.100.51,192.168.100.50,54935,52869,6,Benign,0.3361 seconds,1.0
192.168.100.51,192.168.100.50,55143,1148,6,Benign,0.3512 seconds,1.0
192.168.100.51,192.168.100.50,55944,1277,6,Benign,0.2762 seconds,1.0
192.168.100.51,192.168.100.50,55783,541,6,Benign,0.2508 seconds,1.0
192.168.100.51,192.168.100.50,56103,5061,6,Benign,0.2461 seconds,1.0
192.168.100.51,192.168.100.50,57226,1186,6,Benign,0.2895 seconds,1.0
192.168.100.51,192.168.100.50,57472,587,6,Benign,0.2842 seconds,1.0
192.168.100.51,192.168.100.50,56887,1009,6,Benign,0.2675 seconds,1.0
192.168.100.51,192.168.100.50,57807,6646,6,Benign,0.2552 seconds,1.0
192.168.100.51,192.168.100.50,58039,32780,6,Benign,0.2480 seconds,1.0
192.168.100.50,192.168.100.51,2111,58318,6,Benign,0.2700 seconds,1.0
192.168.100.51,192.168.100.50,58623,993,6,Benign,0.2596 seconds,1.0
192.168.100.51,192.168.100.50,59194,9943,6,Benign,0.2543 seconds,1.0
192.168.100.51,192.168.100.50,59383,5959,6,Benign,0.2676 seconds,1.0
192.168.100.51,192.168.100.50,59623,2323,6,Benign,0.2461 seconds,1.0
192.168.100.51,192.168.100.50,59754,32782,6,Benign,0.3724 seconds,1.0
192.168.100.50,192.168.100.51,9200,60296,6,Benign,0.4239 seconds,1.0
192.168.100.51,192.168.100.50,60586,1151,6,Benign,0.4319 seconds,1.0
192.168.100.51,192.168.100.50,60695,1087,6,Benign,0.3492 seconds,1.0
192.168.100.51,192.168.100.50,61176,19350,6,Benign,0.3222 seconds,1.0
192.168.100.51,192.168.100.50,61775,1074,6,Benign,0.2601 seconds,1.0
192.168.100.51,192.168.100.50,62448,981,6,Benign,0.2623 seconds,1.0
192.168.100.51,192.168.100.50,62704,1154,6,Benign,0.2871 seconds,1.0
192.168.100.51,192.168.100.50,63088,3827,6,Benign,0.2658 seconds,1.0
192.168.100.51,192.168.100.50,63089,3827,6,Benign,0.2647 seconds,1.0
192.168.100.51,192.168.100.50,63360,27352,6,Benign,0.2587 seconds,1.0
192.168.100.51,192.168.100.50,63368,6007,6,Benign,0.2485 seconds,1.0
192.168.100.51,192.168.100.50,63616,5357,6,Benign,0.2786 seconds,1.0
192.168.100.51,192.168.100.50,63617,3918,6,Benign,0.2822 seconds,1.0
192.168.100.51,192.168.100.50,63869,146,6,Benign,0.2569 seconds,1.0
192.168.100.51,192.168.100.50,64091,7001,6,Benign,0.3033 seconds,1.0
192.168.100.51,192.168.100.50,64280,5269,6,Benign,0.2659 seconds,1.0
192.168.100.51,192.168.100.50,64591,15004,6,Benign,0.2765 seconds,1.0
192.168.100.51,192.168.100.50,64840,55056,6,Benign,0.2671 seconds,1.0
192.168.100.51,192.168.100.50,65095,6668,6,Benign,0.3416 seconds,1.0
192.168.100.51,192.168.100.50,65328,9290,6,Benign,0.5109 seconds,1.0
192.168.100.51,192.168.100.50,49274,32784,6,Benign,0.4788 seconds,1.0
192.168.100.51,192.168.100.50,49614,2288,6,Benign,0.4801 seconds,1.0
