src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
192.168.100.51,192.168.100.50,63290,1999,6,Benign,0.3172 seconds,1.0
192.168.100.51,192.168.100.50,63291,80,6,Benign,0.3288 seconds,1.0
192.168.100.51,192.168.100.50,63292,80,6,Benign,0.3497 seconds,1.0
192.168.100.51,192.168.100.50,63293,80,6,Benign,0.3317 seconds,1.0
192.168.100.51,192.168.100.50,63294,80,6,Benign,0.3085 seconds,1.0
192.168.100.51,192.168.100.50,63295,80,6,Benign,0.2526 seconds,1.0
192.168.100.51,192.168.100.50,63296,80,6,Benign,0.2890 seconds,1.0
192.168.100.51,192.168.100.50,63297,80,6,Benign,0.2993 seconds,1.0
192.168.100.51,192.168.100.50,63298,80,6,Benign,0.2727 seconds,1.0
192.168.100.51,192.168.100.50,63299,80,6,Benign,0.2615 seconds,1.0
192.168.100.51,192.168.100.50,63300,80,6,Benign,0.2643 seconds,1.0
192.168.100.51,192.168.100.50,63301,80,6,Benign,0.2577 seconds,1.0
192.168.100.51,192.168.100.50,63303,80,6,Benign,0.2656 seconds,1.0
192.168.100.51,192.168.100.50,63302,80,6,Benign,0.4146 seconds,1.0
192.168.100.50,192.168.100.51,80,63303,6,Benign,0.2453 seconds,1.0
192.168.100.51,192.168.100.50,63304,80,6,Benign,0.3263 seconds,1.0
192.168.100.51,192.168.100.50,63306,80,6,Benign,0.3795 seconds,1.0
192.168.100.51,192.168.100.50,63305,80,6,Benign,0.2791 seconds,1.0
192.168.100.51,192.168.100.50,63321,80,6,Benign,0.2578 seconds,1.0
192.168.100.51,192.168.100.50,63349,80,6,Benign,0.2605 seconds,1.0
192.168.100.51,192.168.100.50,63361,80,6,Benign,0.2786 seconds,1.0
192.168.100.50,192.168.100.51,80,63401,6,Benign,0.2641 seconds,1.0
192.168.100.51,192.168.100.50,63407,80,6,Benign,0.2473 seconds,1.0
192.168.100.51,192.168.100.50,63408,80,6,Benign,0.2888 seconds,1.0
192.168.100.51,192.168.100.50,63412,80,6,Benign,0.2877 seconds,1.0
192.168.100.51,192.168.100.50,63413,80,6,Benign,0.2657 seconds,1.0
192.168.100.51,192.168.100.50,63414,80,6,Benign,0.2711 seconds,1.0
192.168.100.51,192.168.100.50,63415,80,6,Benign,0.2648 seconds,1.0
192.168.100.51,192.168.100.50,63429,80,6,Benign,0.2625 seconds,1.0
192.168.100.51,192.168.100.50,63430,80,6,Benign,0.2871 seconds,1.0
192.168.100.51,192.168.100.50,63431,80,6,Benign,0.3094 seconds,1.0
192.168.100.51,192.168.100.50,63432,80,6,Benign,0.3311 seconds,1.0
192.168.100.51,192.168.100.50,63462,80,6,Benign,0.2520 seconds,1.0
192.168.100.51,192.168.100.50,63475,80,6,Benign,0.2632 seconds,1.0
192.168.100.51,192.168.100.50,63477,80,6,Benign,0.2683 seconds,1.0
192.168.100.51,192.168.100.50,63476,80,6,Benign,0.2696 seconds,1.0
192.168.100.51,192.168.100.50,63479,80,6,Benign,0.2536 seconds,1.0
192.168.100.51,192.168.100.50,63496,80,6,Benign,0.2518 seconds,1.0
192.168.100.51,192.168.100.50,63495,80,6,Benign,0.2609 seconds,1.0
192.168.100.51,192.168.100.50,63497,80,6,Benign,0.2940 seconds,1.0
192.168.100.51,192.168.100.50,63498,80,6,Benign,0.2533 seconds,1.0
192.168.100.51,192.168.100.50,63500,80,6,Benign,0.2670 seconds,1.0
192.168.100.51,192.168.100.50,63499,80,6,Benign,0.2800 seconds,1.0
192.168.100.51,192.168.100.50,63501,80,6,Benign,0.2592 seconds,1.0
192.168.100.51,192.168.100.50,63502,80,6,Benign,0.2529 seconds,1.0
192.168.100.51,192.168.100.50,63514,80,6,Benign,0.3662 seconds,1.0
192.168.100.51,192.168.100.50,63521,80,6,Benign,0.3536 seconds,1.0
192.168.100.51,192.168.100.50,63524,80,6,Benign,0.2623 seconds,1.0
192.168.100.51,192.168.100.50,63525,80,6,Benign,0.2676 seconds,1.0
192.168.100.51,192.168.100.50,63529,80,6,Benign,0.2604 seconds,1.0
