src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence,Prob_DoS,Prob_PortScan,Prob_BruteForce,Prob_WebAttack,Prob_Bot
192.168.100.51,192.168.100.50,51816,80,6,DoS,0.5815 seconds,0.6355555555555555,0.6355555555555555,0.02,0.3212222222222222,0.0044444444444444444,0.018777777777777775
192.168.100.51,192.168.100.50,51808,80,6,DoS,0.5534 seconds,0.6030793650793651,0.6030793650793651,0.02666666666666667,0.36358730158730157,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,50842,80,6,DoS,0.4331 seconds,0.5928571428571429,0.5928571428571429,0.02666666666666667,0.3738095238095238,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,50834,80,6,DoS,0.4430 seconds,0.5945238095238096,0.5945238095238096,0.02666666666666667,0.3721428571428571,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,50833,80,6,DoS,0.4531 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,50832,80,6,DoS,0.4075 seconds,0.5950793650793651,0.5950793650793651,0.02666666666666667,0.3715873015873016,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51439,80,6,DoS,0.5820 seconds,0.6146666666666667,0.6146666666666667,0.02666666666666667,0.352,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51807,80,6,DoS,0.4629 seconds,0.5916666666666666,0.5916666666666666,0.02666666666666667,0.3572222222222222,0.0044444444444444444,0.02
192.168.100.51,192.168.100.50,51806,80,6,DoS,0.4282 seconds,0.6288888888888888,0.6288888888888888,0.02666666666666667,0.3212222222222222,0.0044444444444444444,0.018777777777777775
192.168.100.51,192.168.100.50,51542,80,6,DoS,0.4047 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,50831,80,6,DoS,0.4683 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51813,80,6,DoS,0.4737 seconds,0.608,0.608,0.02666666666666667,0.35866666666666663,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,64622,80,6,DoS,0.4461 seconds,0.43826491277131235,0.43826491277131235,0.013,0.42183863589103765,0.0031033478893740902,0.12379310344827588
192.168.100.51,192.168.100.50,63721,80,6,DoS,0.6456 seconds,0.43826491277131235,0.43826491277131235,0.013,0.42183863589103765,0.0031033478893740902,0.12379310344827588
192.168.100.51,192.168.100.50,50759,80,6,DoS,0.6357 seconds,0.608,0.608,0.02666666666666667,0.35866666666666663,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,50541,80,6,DoS,0.5320 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,64655,80,6,DoS,0.4270 seconds,0.43826491277131235,0.43826491277131235,0.013,0.42183863589103765,0.0031033478893740902,0.12379310344827588
192.168.100.51,192.168.100.50,64621,80,6,DoS,0.4111 seconds,0.43826491277131235,0.43826491277131235,0.013,0.42183863589103765,0.0031033478893740902,0.12379310344827588
192.168.100.51,192.168.100.50,51238,80,6,DoS,0.4090 seconds,0.6288888888888888,0.6288888888888888,0.02666666666666667,0.3212222222222222,0.0044444444444444444,0.018777777777777775
192.168.100.51,192.168.100.50,51237,80,6,DoS,0.3975 seconds,0.6030793650793651,0.6030793650793651,0.02666666666666667,0.36358730158730157,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,64642,80,6,DoS,0.4360 seconds,0.608,0.608,0.02666666666666667,0.35866666666666663,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,64641,80,6,DoS,0.4808 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51578,80,6,DoS,0.4414 seconds,0.6113333333333334,0.6113333333333334,0.02666666666666667,0.35533333333333333,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51200,80,6,DoS,1.5971 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51199,80,6,DoS,0.7493 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,50758,80,6,DoS,0.5374 seconds,0.608,0.608,0.02666666666666667,0.35866666666666663,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,50539,80,6,DoS,0.4358 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,50318,80,6,DoS,1.0902 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,50075,80,6,DoS,0.4596 seconds,0.6113333333333334,0.6113333333333334,0.02666666666666667,0.35533333333333333,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,49611,80,6,DoS,0.5573 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,49610,80,6,DoS,0.4509 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,49609,80,6,DoS,0.7028 seconds,0.5978571428571429,0.5978571428571429,0.02666666666666667,0.3688095238095238,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51598,80,6,DoS,0.5546 seconds,0.6113333333333334,0.6113333333333334,0.02666666666666667,0.35533333333333333,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51427,80,6,DoS,0.4259 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51597,80,6,DoS,0.5485 seconds,0.6113333333333334,0.6113333333333334,0.02666666666666667,0.35533333333333333,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51826,80,6,DoS,0.3973 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51386,80,6,DoS,0.6213 seconds,0.5911904761904762,0.5911904761904762,0.02666666666666667,0.37547619047619046,0.0,0.006666666666666667
192.168.100.51,192.168.100.50,51385,80,6,DoS,0.4258 seconds,0.5978571428571429,0.5978571428571429,0.02666666666666667,0.3688095238095238,0.0,0.006666666666666667
