src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence,Prob_DoS,Prob_PortScan,Prob_BruteForce,Prob_WebAttack,Prob_Bot
192.168.100.51,192.168.100.50,57822,199,6,DoS,0.5496 seconds,0.5644444444444444,0.5644444444444444,0.03,0.3812222222222222,0.0044444444444444444,0.01988888888888889
192.168.100.51,192.168.100.50,57823,3389,6,Benign,0.2528 seconds,1.0
192.168.100.51,192.168.100.50,57824,256,6,DoS,0.4603 seconds,0.5633333333333332,0.5633333333333332,0.03,0.38455555555555554,0.0044444444444444444,0.017666666666666667
192.168.100.51,192.168.100.50,57825,135,6,DoS,0.4560 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57826,1723,6,DoS,0.4503 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57829,3306,6,DoS,0.4492 seconds,0.5345238095238095,0.5345238095238095,0.016666666666666666,0.4321428571428571,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57831,993,6,DoS,0.4388 seconds,0.5378571428571429,0.5378571428571429,0.016666666666666666,0.4288095238095238,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57832,25,6,DoS,0.6087 seconds,0.5411904761904762,0.5411904761904762,0.016666666666666666,0.42547619047619045,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57834,8888,6,DoS,0.4320 seconds,0.5378571428571428,0.5378571428571428,0.016666666666666666,0.4288095238095238,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57835,995,6,DoS,0.4442 seconds,0.5356349206349207,0.5356349206349207,0.016666666666666666,0.431031746031746,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57836,139,6,DoS,0.7103 seconds,0.5411904761904762,0.5411904761904762,0.016666666666666666,0.42547619047619045,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57837,113,6,DoS,0.9929 seconds,0.538968253968254,0.538968253968254,0.016666666666666666,0.42769841269841263,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57838,8080,6,DoS,1.1016 seconds,0.5411904761904762,0.5411904761904762,0.016666666666666666,0.42547619047619045,0.0,0.016666666666666666
192.168.100.51,192.168.100.50,57839,445,6,Benign,0.7383 seconds,1.0
192.168.100.51,192.168.100.50,57840,1720,6,Benign,0.5054 seconds,1.0
192.168.100.51,192.168.100.50,57841,554,6,DoS,1.3599 seconds,0.5334126984126984,0.5334126984126984,0.016666666666666666,0.4332539682539683,0.0,0.016666666666666666
