src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence,Prob_DoS,Prob_PortScan,Prob_BruteForce,Prob_WebAttack,Prob_Bot
192.168.100.51,192.168.100.50,65465,80,6,DoS,0.8144 seconds,0.6053333333333333,0.6053333333333333,0.10844444444444444,0.04344444444444444,0.053888888888888896,0.18888888888888888
192.168.100.51,192.168.100.50,65466,80,6,DoS,0.5093 seconds,0.6120000000000001,0.6120000000000001,0.08733333333333333,0.04677777777777777,0.051666666666666666,0.20222222222222222
192.168.100.51,192.168.100.50,65467,80,6,DoS,0.5051 seconds,0.6011666666666667,0.6011666666666667,0.14594444444444443,0.04344444444444444,0.053888888888888896,0.15555555555555556
192.168.100.51,192.168.100.50,65468,80,6,DoS,0.9359 seconds,0.5647777777777778,0.5647777777777778,0.030666666666666665,0.03677777777777778,0.06555555555555556,0.30222222222222217
192.168.100.51,192.168.100.50,65453,80,6,DoS,0.4274 seconds,0.5171111111111112,0.5171111111111112,0.02444444444444444,0.12788888888888886,0.16566666666666666,0.16488888888888886
192.168.100.51,192.168.100.50,65470,80,6,DoS,0.4051 seconds,0.5986666666666668,0.5986666666666668,0.12844444444444444,0.04344444444444444,0.053888888888888896,0.17555555555555558
192.168.100.51,192.168.100.50,65471,80,6,DoS,0.5536 seconds,0.5986666666666668,0.5986666666666668,0.12844444444444444,0.04344444444444444,0.053888888888888896,0.17555555555555558
192.168.100.51,192.168.100.50,65472,80,6,DoS,0.4682 seconds,0.5920000000000001,0.5920000000000001,0.11511111111111111,0.04344444444444444,0.053888888888888896,0.19555555555555554
192.168.100.51,192.168.100.50,65474,80,6,DoS,0.5090 seconds,0.5631111111111111,0.5631111111111111,0.08844444444444445,0.04677777777777777,0.06611111111111112,0.23555555555555552
192.168.100.50,192.168.100.51,80,65474,6,DoS,0.5650 seconds,0.7638888888888888,0.7638888888888888,0.07222222222222222,0.12388888888888888,0.006666666666666667,0.03333333333333333
192.168.100.51,192.168.100.50,65473,80,6,DoS,0.5898 seconds,0.5397777777777778,0.5397777777777778,0.04511111111111111,0.04122222222222222,0.05833333333333335,0.31555555555555553
192.168.100.51,192.168.100.50,65475,80,6,DoS,0.4768 seconds,0.5864444444444444,0.5864444444444444,0.10177777777777779,0.04677777777777777,0.05611111111111112,0.20888888888888887
192.168.100.51,192.168.100.50,65476,80,6,DoS,0.4633 seconds,0.5864444444444444,0.5864444444444444,0.09511111111111112,0.04677777777777777,0.05611111111111112,0.21555555555555553
192.168.100.51,192.168.100.50,65469,80,6,DoS,0.4736 seconds,0.5284444444444444,0.5284444444444444,0.02733333333333333,0.03011111111111111,0.06411111111111112,0.35
