src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time
192.168.100.12,104.208.16.88,36178,443,6,Benign,0.09165597098763101
192.168.100.12,104.208.16.88,40408,443,6,Benign,0.03926610900089145
192.168.100.12,104.208.16.88,57002,443,6,Benign,0.11354309499438386
192.168.100.12,104.208.16.88,57004,443,6,Benign,0.05611786700319499
192.168.100.12,104.208.16.88,57014,443,6,Benign,0.040999138000188395
192.168.100.12,140.82.112.22,41352,443,6,Benign,0.046135065000271425
140.82.112.22,192.168.100.12,443,41352,6,Benign,0.062034215006860904
192.168.100.12,104.208.16.88,57020,443,6,Benign,0.09396019698760938
192.168.100.12,104.208.16.88,48740,443,6,Benign,0.05096470899297856
91.108.56.193,192.168.100.12,443,48130,6,Benign,0.06051827399642207
192.168.100.12,91.108.56.193,51270,80,6,Benign,0.06788262700138148
91.108.56.193,192.168.100.12,80,51270,6,Benign,0.04335239100328181
192.168.100.12,91.108.56.193,40528,443,6,Benign,0.03237664500193205
192.168.100.12,91.108.56.193,51280,80,6,Benign,0.037381960995844565
91.108.56.193,192.168.100.12,80,51280,6,Benign,0.0396733499947004
192.168.100.12,104.208.16.88,48756,443,6,Benign,0.04675968299852684
192.168.100.12,140.82.112.22,53164,443,6,Benign,0.0642215879925061
140.82.112.22,192.168.100.12,443,53164,6,Benign,0.06598046599538065
192.168.100.12,20.42.72.131,56426,443,6,Benign,0.047382096003275365
192.168.100.12,20.189.173.1,52938,443,6,Benign,0.09838841400051024
192.168.100.12,140.82.113.21,42338,443,6,Benign,0.06927303099655546
140.82.113.21,192.168.100.12,443,42338,6,Benign,0.05581295299634803
140.82.113.21,192.168.100.12,443,42338,6,Benign,0.04821012599859387
192.168.100.12,20.189.173.1,52948,443,6,Benign,0.04568334300711285
192.168.100.12,140.82.113.21,41152,443,6,Benign,0.08278581900231075
192.168.100.12,140.82.113.21,41152,443,6,Benign,0.06463346700184047
192.168.100.12,140.82.113.21,41152,443,6,Benign,0.08396870399883483
192.168.100.12,20.189.173.1,52964,443,6,Benign,0.04131527099525556
192.168.100.12,20.189.173.1,52976,443,6,Benign,0.0475035800045589
192.168.100.12,20.189.173.1,35656,443,6,Benign,0.043155269988346845
192.168.100.12,140.82.113.21,43206,443,6,Benign,0.04004444999736734
140.82.113.21,192.168.100.12,443,43206,6,Benign,0.031685463996836916
192.168.100.12,20.189.173.1,35672,443,6,Benign,0.057334255005116574
192.168.100.12,20.189.173.1,60800,443,6,Benign,0.05010140800732188
192.168.100.12,140.82.113.21,53708,443,6,Benign,0.08993713599920738
192.168.100.12,140.82.113.21,53708,443,6,Benign,0.07671722301165573
140.82.113.21,192.168.100.12,443,53708,6,Benign,0.06763085500278976
192.168.100.12,20.189.173.1,60808,443,6,Benign,0.07220856200729031
192.168.100.12,20.189.173.1,60822,443,6,Benign,0.04827948099409696
192.168.100.12,20.189.173.1,49706,443,6,Benign,0.06264445999113377
192.168.100.12,140.82.113.21,53724,443,6,Benign,0.09729331400012597
140.82.113.21,192.168.100.12,443,53724,6,Benign,0.04863188699528109
192.168.100.12,20.189.173.1,49720,443,6,Benign,0.052058066008612514
192.168.100.12,20.189.173.1,49732,443,6,Benign,0.045828639005776495
192.168.100.12,20.189.173.1,55086,443,6,Benign,0.04579334300069604
192.168.100.12,140.82.113.21,43162,443,6,Benign,0.0338332819956122
192.168.100.12,192.168.100.1,59570,53,17,Benign,0.09640444499382284
192.168.100.12,192.168.100.1,33746,53,17,Benign,0.046888372002285905
192.168.100.12,192.168.100.1,45297,53,17,Benign,0.056226854998385534
192.168.100.12,192.168.100.1,55695,53,17,Benign,0.04747275699628517
192.168.100.12,192.168.100.1,47720,53,17,Benign,0.053421276999870315
192.168.100.12,34.36.137.203,47948,443,17,Benign,0.04500651700072922
192.168.100.12,192.168.100.1,49513,53,17,Benign,0.05386873798852321
192.168.100.12,34.120.208.123,60214,443,6,Benign,0.06356132699875161
192.168.100.12,169.254.169.254,36960,80,6,Benign,0.041800448001595214
192.168.100.12,169.254.169.254,36972,80,6,Benign,0.056236976000946015
192.168.100.12,169.254.169.254,36988,80,6,Benign,0.05539747400325723
192.168.100.12,169.254.169.254,37002,80,6,Benign,0.047748604003572837
192.168.100.12,104.46.162.227,34744,443,6,Benign,0.031316086009610444
