src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
192.168.10.17,31.13.80.12,48941,443,6,Benign,0.1486 seconds,1.0
192.168.10.17,31.13.80.12,48950,443,6,Benign,0.0471 seconds,1.0
192.168.10.17,31.13.80.12,48941,443,6,Benign,0.0445 seconds,1.0
192.168.10.17,31.13.80.12,48941,443,6,Benign,0.0510 seconds,1.0
192.168.10.17,31.13.80.12,48941,443,6,Benign,0.0460 seconds,1.0
192.168.10.17,31.13.80.12,48950,443,6,Benign,0.0520 seconds,1.0
192.168.10.17,31.13.80.12,48950,443,6,Benign,0.0453 seconds,1.0
192.168.10.17,31.13.80.12,48950,443,6,Benign,0.0578 seconds,1.0
192.168.10.17,157.240.17.35,60521,443,6,Benign,0.0476 seconds,1.0
192.168.10.17,157.240.17.35,60521,443,6,Benign,0.0484 seconds,1.0
157.240.17.35,192.168.10.17,443,60521,6,Benign,0.0517 seconds,1.0
192.168.10.14,192.243.232.58,51020,443,6,Benign,0.0618 seconds,1.0
98.139.225.43,192.168.10.14,443,51051,6,Benign,0.0572 seconds,1.0
72.30.3.43,192.168.10.14,443,51035,6,Benign,0.0444 seconds,1.0
192.168.10.14,206.126.112.150,51069,443,6,Benign,0.0452 seconds,1.0
192.168.10.14,151.101.46.2,51072,443,6,Benign,0.0494 seconds,1.0
192.168.10.14,151.101.46.2,51071,443,6,Benign,0.0641 seconds,1.0
192.168.10.14,151.101.46.2,51071,443,6,Benign,0.0695 seconds,1.0
192.168.10.51,162.213.33.50,58769,443,6,Benign,0.0719 seconds,1.0
74.119.118.67,192.168.10.12,443,49168,6,Benign,0.0469 seconds,1.0
192.168.10.51,162.213.33.50,58770,443,6,Benign,0.0612 seconds,1.0
192.168.10.14,23.61.187.27,50968,80,6,Benign,0.0707 seconds,1.0
192.168.10.15,23.0.165.96,51577,80,6,Benign,0.0421 seconds,1.0
192.168.10.25,104.28.3.122,50099,80,6,Benign,0.0423 seconds,1.0
192.168.10.19,31.13.80.12,33357,443,6,Benign,0.0595 seconds,1.0
31.13.80.12,192.168.10.19,443,33357,6,Benign,0.0479 seconds,1.0
192.168.10.19,31.13.80.12,33357,443,6,Benign,0.0543 seconds,1.0
31.13.80.12,192.168.10.19,443,33357,6,Benign,0.0529 seconds,1.0
157.240.17.35,192.168.10.19,443,55991,6,Benign,0.0482 seconds,1.0
192.168.10.19,157.240.17.35,55991,443,6,Benign,0.0496 seconds,1.0
157.240.17.35,192.168.10.19,443,55991,6,Benign,0.0513 seconds,1.0
157.240.17.35,192.168.10.19,443,55991,6,Benign,0.0577 seconds,1.0
192.168.10.15,52.84.145.230,51533,443,6,Benign,0.0579 seconds,1.0
192.168.10.15,200.147.68.17,51608,80,6,Benign,0.0536 seconds,1.0
192.168.10.15,200.147.68.17,51609,80,6,Benign,0.0568 seconds,1.0
192.168.10.12,54.84.197.164,45998,443,6,Benign,0.0489 seconds,1.0
192.168.10.16,172.217.11.34,51744,443,6,Benign,0.0440 seconds,1.0
192.168.10.12,52.1.161.171,37242,443,6,Benign,0.0576 seconds,1.0
192.168.10.12,52.1.161.171,37266,443,6,Benign,0.0477 seconds,1.0
192.168.10.16,172.217.3.99,45754,443,6,Benign,0.0501 seconds,1.0
192.168.10.16,172.217.3.99,45752,443,6,Benign,0.1546 seconds,1.0
192.168.10.12,54.165.176.149,55676,443,6,Benign,0.0828 seconds,1.0
192.168.10.12,54.86.213.164,36856,443,6,Benign,0.0431 seconds,1.0
192.168.10.14,34.206.36.41,51045,443,6,Benign,0.0441 seconds,1.0
192.168.10.14,34.206.36.41,51040,443,6,Benign,0.0484 seconds,1.0
192.168.10.14,34.206.36.41,51039,443,6,Benign,0.0487 seconds,1.0
192.168.10.16,198.232.124.194,58354,80,6,Benign,0.0500 seconds,1.0
192.168.10.16,31.13.80.2,43642,443,6,Benign,0.0534 seconds,1.0
192.168.10.16,31.13.80.2,43644,443,6,Benign,0.0555 seconds,1.0
192.168.10.16,31.13.80.2,43644,443,6,Benign,0.0703 seconds,1.0
192.168.10.16,31.13.80.2,43644,443,6,Benign,0.0480 seconds,1.0
192.168.10.16,31.13.80.2,43644,443,6,Benign,0.0526 seconds,1.0
31.13.80.2,192.168.10.16,443,43644,6,Benign,0.0471 seconds,1.0
192.168.10.14,206.126.112.140,51063,443,6,Benign,0.0522 seconds,1.0
206.126.112.140,192.168.10.14,443,51063,6,Benign,0.0532 seconds,1.0
192.168.10.16,157.240.2.7,51388,443,6,Benign,0.0625 seconds,1.0
192.168.10.16,157.240.2.7,51388,443,6,Benign,0.0460 seconds,1.0
192.168.10.16,157.240.2.7,51388,443,6,Benign,0.0505 seconds,1.0
192.168.10.16,157.240.2.7,51388,443,6,Benign,0.0458 seconds,1.0
157.240.2.7,192.168.10.16,443,51388,6,Benign,0.0929 seconds,1.0
192.168.10.16,172.217.11.3,53992,80,6,Benign,0.0458 seconds,1.0
192.168.10.15,13.58.96.44,51612,443,6,Benign,0.0522 seconds,1.0
192.168.10.15,13.58.96.44,51611,443,6,Benign,0.0445 seconds,1.0
192.168.10.15,13.58.96.44,51613,443,6,Benign,0.0552 seconds,1.0
192.168.10.15,13.58.96.44,51610,443,6,Benign,0.0574 seconds,1.0
192.168.10.14,206.126.112.140,51060,443,6,Benign,0.0452 seconds,1.0
206.126.112.140,192.168.10.14,443,51060,6,Benign,0.0522 seconds,1.0
192.168.10.12,139.61.74.125,36630,443,6,Benign,0.0547 seconds,1.0
192.168.10.16,52.84.143.124,60820,443,6,Benign,0.0496 seconds,1.0
192.168.10.16,172.217.10.46,44400,80,6,Benign,0.0459 seconds,1.0
192.168.10.12,52.11.250.32,58292,443,6,Benign,0.0489 seconds,1.0
