src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence,Prob_DoS,Prob_PortScan,Prob_BruteForce,Prob_WebAttack,Prob_Bot
192.168.10.17,93.184.216.180,35946,443,6,DoS,0.0035 seconds,0.9996414184570312,0.9996414184570312,4.977597563993186e-05,0.00019764059106819332,2.8782638764823787e-05,8.227421494666487e-05
192.168.10.17,93.184.216.180,35946,443,6,BruteForce,0.0063 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.00023316052102018148
192.168.10.17,93.184.216.180,35946,443,6,BruteForce,0.0024 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.00023316052102018148
192.168.10.17,172.217.10.33,50459,443,6,DoS,0.0020 seconds,0.9998339414596558,0.9998339414596558,1.670469282544218e-05,9.323973790742457e-05,1.4557759641320445e-05,4.161287142778747e-05
192.168.10.17,172.217.12.132,34824,80,6,DoS,0.0024 seconds,0.9997619986534119,0.9997619986534119,0.00015137935406528413,3.667200871859677e-05,8.37373772810679e-06,4.163885023444891e-05
192.168.10.17,172.217.10.98,35023,443,6,DoS,0.0060 seconds,0.9998339414596558,0.9998339414596558,1.670469282544218e-05,9.323973790742457e-05,1.4557759641320445e-05,4.161287142778747e-05
192.168.10.17,172.217.6.194,32815,443,6,DoS,0.0037 seconds,0.9998339414596558,0.9998339414596558,1.670469282544218e-05,9.323973790742457e-05,1.4557759641320445e-05,4.161287142778747e-05
192.168.10.17,172.217.12.132,34826,80,6,DoS,0.0022 seconds,0.9997619986534119,0.9997619986534119,0.00015137935406528413,3.667200871859677e-05,8.37373772810679e-06,4.163885023444891e-05
192.168.10.17,172.217.10.98,35007,443,6,DoS,0.0021 seconds,0.9998339414596558,0.9998339414596558,1.670469282544218e-05,9.323973790742457e-05,1.4557759641320445e-05,4.161287142778747e-05
192.168.10.17,172.217.10.33,50462,443,6,DoS,0.0029 seconds,0.9998339414596558,0.9998339414596558,1.670469282544218e-05,9.323973790742457e-05,1.4557759641320445e-05,4.161287142778747e-05
93.184.215.245,192.168.10.15,443,53900,6,DoS,0.0073 seconds,0.8916623592376709,0.8916623592376709,0.0008553274674341083,0.10387131571769714,0.0003865969483740628,0.003224338637664914
192.168.10.17,172.217.6.194,34899,80,6,DoS,0.0044 seconds,0.9999406337738037,0.9999406337738037,3.818115874310024e-05,5.998321285005659e-06,2.228269522674964e-06,1.3050957932136953e-05
192.168.10.15,104.97.133.94,54204,80,6,DoS,0.0082 seconds,0.9998266100883484,0.9998266100883484,4.339783117757179e-05,5.427611540653743e-05,1.5168400750553701e-05,6.069947630749084e-05
192.168.10.15,23.61.187.27,54201,80,6,DoS,0.0064 seconds,0.9963982105255127,0.9963982105255127,0.00043724291026592255,0.0006967977387830615,0.0017740835901349783,0.0006936709396541119
192.168.10.15,162.208.20.178,54191,80,6,BruteForce,0.0041 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.00023316052102018148
192.168.10.15,198.54.12.112,52965,80,6,BruteForce,0.0046 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.00023316052102018148
192.168.10.15,52.206.85.2,54058,443,6,BruteForce,0.0104 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.00023316052102018148
192.168.10.15,172.217.7.14,53623,443,6,BruteForce,0.0100 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.00023316052102018148
192.168.10.15,104.88.89.135,53615,443,6,BruteForce,0.0075 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.00023316052102018148
192.168.10.15,23.15.4.8,54196,80,6,BruteForce,0.0026 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.00023316052102018148
192.168.10.15,216.58.212.131,53630,443,6,BruteForce,0.0020 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.00023316052102018148
192.168.10.15,23.61.187.27,54202,80,6,DoS,0.0047 seconds,0.9997723698616028,0.9997723698616028,2.702552046685014e-05,3.3799849916249514e-05,9.44595376495272e-06,0.0001573732733959332
192.168.10.15,172.217.10.38,53959,443,6,BruteForce,0.0083 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.00023316052102018148
192.168.10.15,72.30.3.42,54197,80,6,DoS,0.0033 seconds,0.9767690896987915,0.9767690896987915,0.00015426934987772256,0.0006908444338478148,0.021842312067747116,0.0005435109487734735
192.168.10.15,172.217.10.74,53619,80,6,BruteForce,0.0072 seconds,0.6565741896629333,0.34078964591026306,0.002311571966856718,0.6565741896629333,9.139296889770776e-05,0.00023316052102018148
