src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
192.168.100.51,192.168.100.50,62817,80,6,Benign,0.3178 seconds,1.0
192.168.100.51,192.168.100.50,62912,80,6,Benign,0.2939 seconds,1.0
192.168.100.51,192.168.100.50,62910,80,6,Benign,0.3853 seconds,1.0
192.168.100.51,192.168.100.50,62911,80,6,Benign,0.3238 seconds,1.0
192.168.100.51,192.168.100.50,62909,80,6,Benign,0.3905 seconds,1.0
192.168.100.51,192.168.100.50,62908,80,6,Benign,0.2723 seconds,1.0
192.168.100.51,192.168.100.50,62901,80,6,Benign,0.2751 seconds,1.0
192.168.100.51,192.168.100.50,63015,80,6,Benign,0.3877 seconds,1.0
192.168.100.51,192.168.100.50,63013,80,6,Benign,0.3807 seconds,1.0
192.168.100.51,192.168.100.50,62989,80,6,Benign,0.2697 seconds,1.0
192.168.100.51,192.168.100.50,63220,80,6,Benign,0.2864 seconds,1.0
192.168.100.51,192.168.100.50,63859,80,6,Benign,0.3104 seconds,1.0
192.168.100.51,192.168.100.50,63389,80,6,Benign,0.2659 seconds,0.6742491447185129
192.168.100.51,192.168.100.50,63388,80,6,Benign,0.2556 seconds,1.0
192.168.100.51,192.168.100.50,63387,80,6,Benign,0.2782 seconds,1.0
192.168.100.51,192.168.100.50,63386,80,6,Benign,0.2706 seconds,0.6741159786363244
192.168.100.51,192.168.100.50,63385,80,6,Benign,0.3035 seconds,0.6796812313110727
192.168.100.51,192.168.100.50,63384,80,6,Benign,0.2626 seconds,1.0
192.168.100.51,192.168.100.50,63383,80,6,Benign,0.2601 seconds,1.0
192.168.100.51,192.168.100.50,63382,80,6,Benign,0.2587 seconds,1.0
192.168.100.51,192.168.100.50,63380,80,6,Benign,0.2415 seconds,1.0
192.168.100.51,192.168.100.50,63379,80,6,Benign,0.2510 seconds,0.6731051914335959
20.205.243.168,192.168.100.50,443,47104,6,Benign,0.3066 seconds,1.0
20.205.243.168,192.168.100.50,443,47104,6,Benign,0.2355 seconds,1.0
192.168.100.51,192.168.100.50,63197,80,6,Benign,0.3153 seconds,1.0
192.168.100.51,192.168.100.50,63234,80,6,Benign,0.2924 seconds,1.0
192.168.100.51,192.168.100.50,63233,80,6,Benign,0.2348 seconds,0.7042215825286947
192.168.100.51,192.168.100.50,63226,80,6,Benign,0.2835 seconds,0.7042363960645913
192.168.100.51,192.168.100.50,63225,80,6,Benign,0.2537 seconds,0.7042371261446866
192.168.100.51,192.168.100.50,63224,80,6,Benign,0.2421 seconds,0.7042388821393917
192.168.100.51,192.168.100.50,63223,80,6,Benign,0.2405 seconds,1.0
192.168.100.51,192.168.100.50,63222,80,6,Benign,0.2799 seconds,1.0
192.168.100.51,192.168.100.50,63199,80,6,Benign,0.3123 seconds,0.7269105872375539
192.168.100.51,192.168.100.50,63198,80,6,Benign,0.4018 seconds,0.7477851865928556
192.168.100.51,192.168.100.50,63238,80,6,Benign,0.2809 seconds,1.0
192.168.100.51,192.168.100.50,63237,80,6,Benign,0.4492 seconds,1.0
192.168.100.51,192.168.100.50,63236,80,6,Benign,0.3954 seconds,1.0
192.168.100.51,192.168.100.50,62832,80,6,Benign,0.3237 seconds,1.0
192.168.100.51,192.168.100.50,62837,80,6,Benign,0.4966 seconds,0.6772091162622063
192.168.100.51,192.168.100.50,62835,80,6,DoS,0.6124 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.51,192.168.100.50,51143,80,6,Benign,0.3199 seconds,0.6797677904822609
192.168.100.51,192.168.100.50,64440,80,6,Benign,0.2362 seconds,0.674669608045902
192.168.100.51,192.168.100.50,62833,80,6,Benign,0.3854 seconds,1.0
192.168.100.51,192.168.100.50,62838,80,6,Benign,0.4163 seconds,1.0
192.168.100.51,192.168.100.50,62834,80,6,Benign,0.3242 seconds,1.0
192.168.100.51,192.168.100.50,62832,80,6,Benign,0.4062 seconds,1.0
192.168.100.51,192.168.100.50,62842,80,6,Benign,0.4178 seconds,1.0
192.168.100.51,192.168.100.50,62851,80,6,Benign,0.5306 seconds,1.0
192.168.100.51,192.168.100.50,63921,80,6,Benign,0.3980 seconds,1.0
192.168.100.51,192.168.100.50,63917,80,6,Benign,0.3174 seconds,1.0
192.168.100.51,192.168.100.50,63916,80,6,Benign,0.4461 seconds,1.0
192.168.100.51,192.168.100.50,63914,80,6,Benign,0.3762 seconds,1.0
192.168.100.51,192.168.100.50,63902,80,6,DoS,0.4065 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.51,192.168.100.50,63903,80,6,DoS,0.4360 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.51,192.168.100.50,63241,80,6,Benign,0.5162 seconds,1.0
192.168.100.51,192.168.100.50,62888,80,6,Benign,0.4100 seconds,1.0
192.168.100.51,192.168.100.50,62273,80,6,Benign,0.5613 seconds,1.0
192.168.100.51,192.168.100.50,63287,80,6,Benign,0.4852 seconds,1.0
192.168.100.51,192.168.100.50,63248,80,6,Benign,0.3629 seconds,1.0
192.168.100.51,192.168.100.50,62873,80,6,Benign,0.4396 seconds,1.0
192.168.100.51,192.168.100.50,62460,80,6,Benign,0.3729 seconds,1.0
192.168.100.51,192.168.100.50,63247,80,6,Benign,0.4257 seconds,1.0
192.168.100.51,192.168.100.50,62884,80,6,Benign,0.4616 seconds,1.0
192.168.100.51,192.168.100.50,62881,80,6,Benign,0.3695 seconds,1.0
192.168.100.51,192.168.100.50,50051,80,6,Benign,0.3671 seconds,1.0
192.168.100.51,192.168.100.50,62361,80,6,Benign,0.3496 seconds,1.0
192.168.100.51,192.168.100.50,62360,80,6,Benign,0.4294 seconds,1.0
192.168.100.51,192.168.100.50,62359,80,6,Benign,0.3453 seconds,1.0
192.168.100.51,192.168.100.50,62355,80,6,Benign,0.3472 seconds,1.0
192.168.100.51,192.168.100.50,62328,80,6,Benign,0.3430 seconds,1.0
192.168.100.51,192.168.100.50,64099,80,6,Benign,0.3125 seconds,1.0
192.168.100.51,192.168.100.50,64098,80,6,Benign,0.3877 seconds,1.0
192.168.100.51,192.168.100.50,63288,80,6,Benign,0.3715 seconds,1.0
192.168.100.51,192.168.100.50,49771,80,6,Benign,0.2895 seconds,1.0
192.168.100.51,192.168.100.50,49770,80,6,Benign,0.3924 seconds,1.0
192.168.100.51,192.168.100.50,64076,80,6,Benign,0.3380 seconds,1.0
192.168.100.51,192.168.100.50,50549,80,6,Benign,0.4405 seconds,1.0
192.168.100.51,192.168.100.50,50303,80,6,Benign,0.4099 seconds,1.0
192.168.100.51,192.168.100.50,64095,80,6,Benign,0.4343 seconds,1.0
192.168.100.51,192.168.100.50,63317,80,6,Benign,0.4687 seconds,1.0
192.168.100.51,192.168.100.50,49165,80,6,Benign,0.4403 seconds,1.0
192.168.100.51,192.168.100.50,63403,80,6,Benign,0.3154 seconds,1.0
192.168.100.51,192.168.100.50,63402,80,6,Benign,0.4783 seconds,1.0
192.168.100.51,192.168.100.50,63401,80,6,Benign,0.4461 seconds,1.0
192.168.100.51,192.168.100.50,63400,80,6,Benign,0.5515 seconds,1.0
192.168.100.51,192.168.100.50,63399,80,6,Benign,0.5852 seconds,1.0
192.168.100.51,192.168.100.50,63398,80,6,Benign,0.3206 seconds,1.0
192.168.100.51,192.168.100.50,63397,80,6,Benign,0.2869 seconds,1.0
192.168.100.51,192.168.100.50,63396,80,6,Benign,0.3290 seconds,1.0
192.168.100.51,192.168.100.50,63395,80,6,Benign,0.2933 seconds,1.0
192.168.100.51,192.168.100.50,63394,80,6,Benign,0.3132 seconds,1.0
192.168.100.51,192.168.100.50,63393,80,6,Benign,0.3023 seconds,1.0
192.168.100.51,192.168.100.50,49759,80,6,Benign,0.3008 seconds,0.6721397385337897
192.168.100.51,192.168.100.50,63312,80,6,Benign,0.3313 seconds,1.0
192.168.100.51,192.168.100.50,63311,80,6,Benign,0.3116 seconds,1.0
192.168.100.51,192.168.100.50,63310,80,6,Benign,0.5264 seconds,1.0
192.168.100.51,192.168.100.50,63295,80,6,Benign,0.4673 seconds,1.0
192.168.100.51,192.168.100.50,63294,80,6,Benign,0.3943 seconds,1.0
192.168.100.51,192.168.100.50,63316,80,6,Benign,0.4923 seconds,1.0
192.168.100.50,192.168.100.1,10081,53,17,Benign,0.4842 seconds,1.0
192.168.100.50,192.168.100.1,5613,53,17,Benign,0.5079 seconds,1.0
192.168.100.51,192.168.100.50,63315,80,6,Benign,0.5372 seconds,1.0
192.168.100.50,192.168.100.1,49964,53,17,Benign,0.5210 seconds,1.0
192.168.100.51,192.168.100.50,64083,80,6,Benign,0.4524 seconds,1.0
192.168.100.51,192.168.100.50,64082,80,6,Benign,0.4042 seconds,1.0
192.168.100.51,192.168.100.50,51181,80,6,Benign,0.3286 seconds,1.0
192.168.100.51,192.168.100.50,49788,80,6,DoS,0.7219 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.52,224.0.0.251,5353,5353,17,Benign,0.5244 seconds,1.0
192.168.100.51,192.168.100.50,65162,80,6,DoS,0.4820 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.51,192.168.100.50,65161,80,6,Benign,0.4347 seconds,1.0
192.168.100.51,192.168.100.50,65160,80,6,Benign,0.3134 seconds,1.0
192.168.100.51,192.168.100.50,51763,80,6,Benign,0.4784 seconds,1.0
192.168.100.51,192.168.100.50,51697,80,6,Benign,0.4164 seconds,1.0
192.168.100.51,192.168.100.50,50885,80,6,Benign,0.3049 seconds,1.0
