src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
192.168.100.51,192.168.100.50,64155,1723,6,Benign,0.4135 seconds,1.0
192.168.100.51,192.168.100.50,64156,8888,6,Benign,0.2526 seconds,1.0
192.168.100.51,192.168.100.50,64157,113,6,Benign,0.4381 seconds,1.0
192.168.100.51,192.168.100.50,64158,995,6,Benign,0.4843 seconds,1.0
192.168.100.51,192.168.100.50,64159,3389,6,Benign,0.3626 seconds,1.0
192.168.100.51,192.168.100.50,64160,554,6,Benign,0.2764 seconds,1.0
192.168.100.51,192.168.100.50,64161,256,6,Benign,0.2517 seconds,1.0
192.168.100.51,192.168.100.50,64162,993,6,Benign,0.2478 seconds,1.0
192.168.100.51,192.168.100.50,64163,3306,6,Benign,0.2747 seconds,1.0
192.168.100.51,192.168.100.50,64165,23,6,Benign,0.2603 seconds,1.0
192.168.100.51,192.168.100.50,64166,8080,6,Benign,0.2475 seconds,1.0
192.168.100.51,192.168.100.50,64167,139,6,Benign,0.2538 seconds,1.0
192.168.100.51,192.168.100.50,64168,143,6,Benign,0.2400 seconds,1.0
192.168.100.51,192.168.100.50,64170,443,6,Benign,0.2597 seconds,1.0
192.168.100.51,192.168.100.50,64171,199,6,Benign,0.2570 seconds,1.0
192.168.100.51,192.168.100.50,64172,5900,6,Benign,0.2721 seconds,1.0
192.168.100.51,192.168.100.50,64173,25,6,Benign,0.2440 seconds,1.0
192.168.100.51,192.168.100.50,64175,135,6,Benign,0.2503 seconds,1.0
192.168.100.51,192.168.100.50,64177,587,6,Benign,0.2407 seconds,1.0
192.168.100.51,192.168.100.50,64178,53,6,Benign,0.2577 seconds,1.0
192.168.100.51,192.168.100.50,64179,1720,6,Benign,0.2866 seconds,1.0
192.168.100.51,192.168.100.50,64180,445,6,Benign,0.2626 seconds,1.0
192.168.100.51,192.168.100.50,64181,1025,6,Benign,0.2429 seconds,1.0
192.168.100.51,192.168.100.50,64182,110,6,Benign,0.3064 seconds,1.0
192.168.100.51,192.168.100.50,64183,3261,6,Benign,0.2685 seconds,1.0
192.168.100.51,192.168.100.50,64184,32778,6,Benign,0.2443 seconds,1.0
192.168.100.51,192.168.100.50,64185,1521,6,Benign,0.2750 seconds,1.0
192.168.100.51,192.168.100.50,64186,10009,6,Benign,0.2447 seconds,1.0
192.168.100.51,192.168.100.50,64187,4004,6,Benign,0.2542 seconds,1.0
192.168.100.51,192.168.100.50,64188,5222,6,Benign,0.3915 seconds,1.0
192.168.100.51,192.168.100.50,64189,32784,6,Benign,0.4488 seconds,1.0
192.168.100.51,192.168.100.50,64190,2007,6,Benign,0.2434 seconds,1.0
192.168.100.51,192.168.100.50,64191,6112,6,Benign,0.2408 seconds,1.0
192.168.100.51,192.168.100.50,64192,2034,6,Benign,0.2642 seconds,1.0
192.168.100.51,192.168.100.50,64193,311,6,Benign,0.2518 seconds,1.0
