src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
192.168.100.50,20.189.172.32,53498,443,6,Benign,0.1983 seconds,0.9844444444444443
192.168.100.51,192.168.100.50,54582,5900,6,Benign,0.2186 seconds,1.0
192.168.100.51,192.168.100.50,54583,199,6,Benign,0.2035 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,54584,8888,6,Benign,0.2077 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55946,2100,6,Benign,0.2281 seconds,1.0
192.168.100.51,192.168.100.50,55947,8383,6,Benign,0.2249 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55948,1199,6,Benign,0.2575 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55949,7103,6,Benign,0.2720 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55950,5963,6,Benign,0.2027 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55951,3031,6,Benign,0.3991 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55952,1057,6,Benign,0.2356 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55953,8011,6,Benign,0.3088 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55954,9220,6,Benign,0.2488 seconds,1.0
192.168.100.51,192.168.100.50,55955,444,6,Benign,0.3614 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55956,106,6,Benign,0.2147 seconds,0.9929999999999999
192.168.100.51,192.168.100.50,55957,541,6,Benign,0.2988 seconds,1.0
192.168.100.51,192.168.100.50,55958,2170,6,Benign,0.2862 seconds,1.0
192.168.100.51,192.168.100.50,55959,1163,6,Benign,0.2299 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55960,5962,6,Benign,0.1950 seconds,1.0
192.168.100.51,192.168.100.50,55961,30000,6,Benign,0.2088 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55962,4,6,Benign,0.2056 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55963,1051,6,Benign,0.2152 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55964,125,6,Benign,0.2226 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55965,5906,6,Benign,0.2262 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55966,2601,6,Benign,0.1939 seconds,1.0
192.168.100.51,192.168.100.50,55967,12000,6,Benign,0.4493 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55968,3211,6,Benign,0.2033 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55969,6123,6,Benign,0.2047 seconds,1.0
192.168.100.51,192.168.100.50,55970,7001,6,Benign,0.2182 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55971,1126,6,Benign,0.2003 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55972,26,6,Benign,0.2077 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55973,7004,6,Benign,0.2125 seconds,1.0
192.168.100.51,192.168.100.50,55974,3871,6,Benign,0.2012 seconds,1.0
192.168.100.51,192.168.100.50,55975,144,6,Benign,0.2327 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55976,2126,6,Benign,0.2060 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55977,5959,6,Benign,0.2074 seconds,1.0
192.168.100.51,192.168.100.50,55978,8652,6,Benign,0.2011 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55979,9898,6,Benign,0.2087 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55980,1072,6,Benign,0.2999 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55981,6101,6,Benign,0.2167 seconds,1.0
192.168.100.51,192.168.100.50,55982,3814,6,Benign,0.2058 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55983,3017,6,Benign,0.2001 seconds,1.0
192.168.100.51,192.168.100.50,55984,10082,6,Benign,0.2398 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55985,57294,6,Benign,0.2394 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55986,8600,6,Benign,0.2632 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55987,7000,6,Benign,0.2143 seconds,1.0
192.168.100.51,192.168.100.50,55988,1812,6,Benign,0.2188 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55989,10629,6,Benign,0.2066 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55990,5903,6,Benign,0.2184 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55991,50003,6,Benign,0.1926 seconds,1.0
192.168.100.51,192.168.100.50,55992,1023,6,Benign,0.2115 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55993,16016,6,Benign,0.2071 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55994,2021,6,Benign,0.2028 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55995,1098,6,Benign,0.2226 seconds,1.0
192.168.100.51,192.168.100.50,55996,1244,6,Benign,0.1985 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55997,3827,6,Benign,0.2267 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55998,6901,6,Benign,0.2138 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55999,45100,6,Benign,0.2206 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,56000,1688,6,Benign,0.1857 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,56001,787,6,Benign,0.2170 seconds,1.0
192.168.100.51,192.168.100.50,56002,3878,6,Benign,0.4581 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,56003,7025,6,Benign,0.2079 seconds,0.9852222222222222
192.168.100.51,192.168.100.50,56004,1048,6,Benign,0.2239 seconds,0.9929999999999999
192.168.100.51,192.168.100.50,56005,5550,6,Benign,0.2113 seconds,0.9896666666666666
192.168.100.51,192.168.100.50,56006,7443,6,Benign,0.2185 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,56007,49154,6,Benign,0.2103 seconds,1.0
192.168.100.51,192.168.100.50,56008,8089,6,Benign,0.2191 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,56009,85,6,Benign,0.2094 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,56010,1322,6,Benign,0.2314 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,56011,1067,6,Benign,0.2096 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,56012,2135,6,Benign,0.2128 seconds,1.0
192.168.100.51,192.168.100.50,56013,5810,6,Benign,0.2152 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,56014,1085,6,Benign,0.2154 seconds,0.9896666666666666
192.168.100.51,192.168.100.50,55131,1045,6,Benign,0.2259 seconds,1.0
192.168.100.51,192.168.100.50,56654,1309,6,Benign,0.2255 seconds,1.0
192.168.100.51,192.168.100.50,56971,40193,6,Benign,0.2113 seconds,1.0
192.168.100.51,192.168.100.50,57422,1025,6,Benign,0.1985 seconds,0.9929999999999999
192.168.100.51,192.168.100.50,58111,50389,6,Benign,0.2235 seconds,1.0
192.168.100.51,192.168.100.50,58581,13456,6,Benign,0.1884 seconds,1.0
192.168.100.51,192.168.100.50,58443,1002,6,Benign,0.2177 seconds,1.0
192.168.100.51,192.168.100.50,59462,9009,6,Benign,0.2405 seconds,1.0
192.168.100.51,192.168.100.50,59088,19315,6,Benign,0.2514 seconds,0.9929999999999999
192.168.100.51,192.168.100.50,60862,3071,6,Benign,0.2023 seconds,1.0
192.168.100.51,192.168.100.50,61076,5900,6,Benign,0.2063 seconds,1.0
192.168.100.51,192.168.100.50,62122,1,6,Benign,0.2098 seconds,1.0
192.168.100.51,192.168.100.50,62471,9575,6,Benign,0.2107 seconds,1.0
192.168.100.51,192.168.100.50,63047,2910,6,Benign,0.2173 seconds,1.0
192.168.100.51,192.168.100.50,63180,256,6,Benign,0.2215 seconds,1.0
192.168.100.50,192.168.100.51,10002,63967,6,Benign,0.2397 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,64249,1025,6,Benign,0.2056 seconds,1.0
192.168.100.51,192.168.100.50,64707,44443,6,Benign,0.1956 seconds,1.0
192.168.100.51,192.168.100.50,50740,38292,6,Benign,0.2168 seconds,1.0
192.168.100.51,192.168.100.50,51102,53,6,Benign,0.2048 seconds,1.0
192.168.100.50,192.168.100.51,5001,51184,6,Benign,0.1982 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,51482,8086,6,Benign,0.1852 seconds,1.0
192.168.100.51,192.168.100.50,51676,1998,6,Benign,0.2353 seconds,1.0
192.168.100.51,192.168.100.50,52133,8888,6,Benign,0.3552 seconds,1.0
192.168.100.51,192.168.100.50,52593,3005,6,Benign,0.2571 seconds,1.0
192.168.100.51,192.168.100.50,52893,2604,6,Benign,0.2221 seconds,1.0
192.168.100.51,192.168.100.50,53278,256,6,Benign,0.1961 seconds,1.0
192.168.100.51,192.168.100.50,54357,26,6,Benign,0.2006 seconds,1.0
192.168.100.51,192.168.100.50,55101,7800,6,Benign,0.1932 seconds,1.0
192.168.100.51,192.168.100.50,55435,5900,6,Benign,0.2266 seconds,1.0
192.168.100.51,192.168.100.50,56713,3306,6,Benign,0.2317 seconds,1.0
192.168.100.51,192.168.100.50,57172,20221,6,Benign,0.2113 seconds,1.0
192.168.100.51,192.168.100.50,57173,8402,6,Benign,0.1790 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,57174,3971,6,Benign,0.2167 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,57498,646,6,Benign,0.2223 seconds,1.0
192.168.100.51,192.168.100.50,57516,32768,6,Benign,0.1930 seconds,1.0
192.168.100.51,192.168.100.50,58284,163,6,Benign,0.2005 seconds,1.0
192.168.100.51,192.168.100.50,58290,7,6,Benign,0.1996 seconds,1.0
192.168.100.51,192.168.100.50,58762,554,6,Benign,0.2015 seconds,1.0
192.168.100.51,192.168.100.50,59053,726,6,Benign,0.2096 seconds,1.0
192.168.100.51,192.168.100.50,59429,57294,6,Benign,0.2001 seconds,1.0
192.168.100.51,192.168.100.50,59430,666,6,Benign,0.2131 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,59838,995,6,Benign,0.1942 seconds,1.0
192.168.100.51,192.168.100.50,59839,143,6,Benign,0.1981 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,59840,139,6,Benign,0.2173 seconds,1.0
192.168.100.51,192.168.100.50,59982,8500,6,Benign,0.2176 seconds,1.0
192.168.100.51,192.168.100.50,60293,1099,6,Benign,0.2134 seconds,0.9896666666666666
192.168.100.51,192.168.100.50,60574,20,6,Benign,0.2167 seconds,0.9896666666666666
192.168.100.51,192.168.100.50,60575,7741,6,Benign,0.2296 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,60951,9594,6,Benign,0.2135 seconds,1.0
192.168.100.51,192.168.100.50,60952,9071,6,Benign,0.1939 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,61133,139,6,Benign,0.2135 seconds,1.0
192.168.100.51,192.168.100.50,61364,5910,6,Benign,0.2273 seconds,1.0
192.168.100.51,192.168.100.50,61365,1096,6,Benign,0.2316 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,61619,2135,6,Benign,0.1973 seconds,1.0
192.168.100.51,192.168.100.50,62163,3306,6,Benign,0.3994 seconds,1.0
192.168.100.51,192.168.100.50,62165,1025,6,Benign,0.2363 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,62167,993,6,Benign,0.2060 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,62168,143,6,Benign,0.2039 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,62169,587,6,Benign,0.2023 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,62170,199,6,Benign,0.2215 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,62171,110,6,Benign,0.2219 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,62494,7402,6,Benign,0.2071 seconds,1.0
192.168.100.51,192.168.100.50,63079,7019,6,Benign,0.2009 seconds,1.0
192.168.100.51,192.168.100.50,64124,1090,6,Benign,0.2012 seconds,1.0
192.168.100.51,192.168.100.50,64551,2022,6,Benign,0.2245 seconds,1.0
192.168.100.51,192.168.100.50,64552,1185,6,Benign,0.2067 seconds,1.0
192.168.100.51,192.168.100.50,64749,1030,6,Benign,0.2008 seconds,1.0
192.168.100.51,192.168.100.50,64759,749,6,Benign,0.2120 seconds,0.9946666666666666
192.168.100.51,192.168.100.50,65012,1080,6,Benign,0.1968 seconds,1.0
192.168.100.51,192.168.100.50,65257,8080,6,Benign,0.2023 seconds,1.0
192.168.100.51,192.168.100.50,65500,1057,6,Benign,0.1979 seconds,1.0
192.168.100.51,192.168.100.50,65512,366,6,Benign,0.1892 seconds,1.0
192.168.100.51,192.168.100.50,49152,54045,6,Benign,0.2503 seconds,1.0
192.168.100.51,192.168.100.50,49930,1040,6,Benign,0.2183 seconds,1.0
192.168.100.51,192.168.100.50,49954,445,6,Benign,0.2165 seconds,0.9946666666666666
192.168.100.51,192.168.100.50,50222,3826,6,Benign,0.2011 seconds,1.0
192.168.100.51,192.168.100.50,50521,3031,6,Benign,0.1903 seconds,1.0
192.168.100.51,192.168.100.50,50711,1072,6,Benign,0.2188 seconds,1.0
192.168.100.51,192.168.100.50,50712,1805,6,Benign,0.2153 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50713,20005,6,Benign,0.2020 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,51047,443,6,Benign,0.2094 seconds,0.9896666666666666
192.168.100.51,192.168.100.50,51165,1165,6,Benign,0.1795 seconds,1.0
192.168.100.51,192.168.100.50,51166,1027,6,Benign,0.2160 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,51877,1334,6,Benign,0.2235 seconds,1.0
192.168.100.51,192.168.100.50,52081,25,6,Benign,0.2121 seconds,1.0
192.168.100.51,192.168.100.50,52814,3809,6,Benign,0.1882 seconds,1.0
192.168.100.51,192.168.100.50,53102,135,6,Benign,0.1947 seconds,1.0
192.168.100.51,192.168.100.50,53300,3221,6,Benign,0.2294 seconds,1.0
192.168.100.51,192.168.100.50,53302,16113,6,Benign,0.1888 seconds,1.0
192.168.100.51,192.168.100.50,54126,110,6,Benign,0.2457 seconds,0.9946666666666666
192.168.100.51,192.168.100.50,54951,7937,6,Benign,0.4156 seconds,1.0
192.168.100.51,192.168.100.50,55181,995,6,Benign,0.2172 seconds,0.9929999999999999
192.168.100.51,192.168.100.50,55412,5901,6,Benign,0.2003 seconds,1.0
192.168.100.51,192.168.100.50,55742,5950,6,Benign,0.1982 seconds,1.0
192.168.100.51,192.168.100.50,56200,110,6,Benign,0.2513 seconds,1.0
192.168.100.51,192.168.100.50,56445,1050,6,Benign,0.2216 seconds,1.0
192.168.100.51,192.168.100.50,56777,1984,6,Benign,0.2137 seconds,0.9896666666666666
192.168.100.51,192.168.100.50,57309,544,6,Benign,0.1844 seconds,1.0
192.168.100.51,192.168.100.50,57504,5500,6,Benign,0.2040 seconds,1.0
192.168.100.51,192.168.100.50,58411,1723,6,Benign,0.1953 seconds,1.0
192.168.100.51,192.168.100.50,58412,113,6,Benign,0.2089 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,58413,445,6,Benign,0.2055 seconds,1.0
192.168.100.51,192.168.100.50,58581,3580,6,Benign,0.1949 seconds,1.0
192.168.100.51,192.168.100.50,58582,5815,6,Benign,0.2213 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,59199,6003,6,Benign,0.2151 seconds,1.0
192.168.100.51,192.168.100.50,59415,8080,6,Benign,0.2112 seconds,1.0
192.168.100.51,192.168.100.50,59613,3,6,Benign,0.2003 seconds,1.0
192.168.100.51,192.168.100.50,59617,3128,6,Benign,0.2012 seconds,1.0
192.168.100.51,192.168.100.50,59618,50006,6,Benign,0.2050 seconds,0.9966666666666667
192.168.100.50,192.168.100.51,1801,59848,6,Benign,0.2181 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,60075,22939,6,Benign,0.1906 seconds,1.0
192.168.100.51,192.168.100.50,60304,20031,6,Benign,0.2288 seconds,1.0
192.168.100.51,192.168.100.50,60431,993,6,Benign,0.2044 seconds,1.0
192.168.100.51,192.168.100.50,60432,554,6,Benign,0.2020 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,60671,3476,6,Benign,0.2169 seconds,1.0
192.168.100.51,192.168.100.50,60675,2068,6,Benign,0.1988 seconds,1.0
192.168.100.51,192.168.100.50,60676,9100,6,Benign,0.2451 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,60952,19101,6,Benign,0.1897 seconds,1.0
192.168.100.51,192.168.100.50,61611,4045,6,Benign,0.2284 seconds,1.0
192.168.100.51,192.168.100.50,61636,445,6,Benign,0.1883 seconds,1.0
192.168.100.51,192.168.100.50,62208,20222,6,Benign,0.2142 seconds,1.0
192.168.100.51,192.168.100.50,62450,9898,6,Benign,0.1984 seconds,1.0
192.168.100.51,192.168.100.50,62852,2602,6,Benign,0.3391 seconds,1.0
192.168.100.51,192.168.100.50,63140,2005,6,Benign,0.2989 seconds,1.0
192.168.100.51,192.168.100.50,63141,15002,6,Benign,0.2134 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,63142,9944,6,Benign,0.1962 seconds,1.0
192.168.100.51,192.168.100.50,63477,49152,6,Benign,0.2099 seconds,1.0
192.168.100.51,192.168.100.50,64012,9,6,Benign,0.2139 seconds,1.0
192.168.100.51,192.168.100.50,64088,6003,6,Benign,0.2061 seconds,1.0
192.168.100.51,192.168.100.50,64718,7,6,Benign,0.1935 seconds,1.0
192.168.100.51,192.168.100.50,64750,555,6,Benign,0.2005 seconds,1.0
192.168.100.51,192.168.100.50,64752,3737,6,Benign,0.2093 seconds,1.0
192.168.100.51,192.168.100.50,64929,11110,6,Benign,0.1916 seconds,1.0
192.168.100.51,192.168.100.50,64931,8082,6,Benign,0.2293 seconds,1.0
192.168.100.51,192.168.100.50,65454,9290,6,Benign,0.2030 seconds,0.9929999999999999
192.168.100.51,192.168.100.50,49400,32777,6,Benign,0.1999 seconds,1.0
192.168.100.51,192.168.100.50,49673,1169,6,Benign,0.2114 seconds,1.0
192.168.100.51,192.168.100.50,49855,84,6,Benign,0.1955 seconds,1.0
192.168.100.51,192.168.100.50,50133,1984,6,Benign,0.2427 seconds,1.0
192.168.100.51,192.168.100.50,50902,8080,6,Benign,0.2179 seconds,0.9896666666666666
192.168.100.51,192.168.100.50,50903,139,6,Benign,0.2008 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50904,8888,6,Benign,0.2146 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,51062,5298,6,Benign,0.2085 seconds,1.0
192.168.100.50,192.168.100.51,22,50905,6,Benign,0.1928 seconds,0.9983333333333333
192.168.100.51,192.168.100.50,50905,22,6,Benign,0.1927 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,51063,8022,6,Benign,0.2167 seconds,0.9929999999999999
192.168.100.51,192.168.100.50,51905,1501,6,Benign,0.2033 seconds,1.0
192.168.100.51,192.168.100.50,51906,1501,6,Benign,0.1961 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,52269,5985,6,Benign,0.1945 seconds,1.0
192.168.100.51,192.168.100.50,52270,49400,6,Benign,0.2134 seconds,0.9966666666666667
192.168.100.50,192.168.100.51,617,52643,6,Benign,0.2111 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,52962,113,6,Benign,0.2002 seconds,1.0
192.168.100.51,192.168.100.50,54352,3689,6,Benign,0.2017 seconds,1.0
192.168.100.51,192.168.100.50,54627,631,6,Benign,0.2205 seconds,1.0
192.168.100.51,192.168.100.50,54894,49159,6,Benign,0.2128 seconds,1.0
192.168.100.51,192.168.100.50,55852,2041,6,Benign,0.1979 seconds,1.0
192.168.100.51,192.168.100.50,56173,6646,6,Benign,0.2403 seconds,1.0
192.168.100.51,192.168.100.50,56174,6646,6,Benign,0.2567 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,56209,6692,6,Benign,0.2148 seconds,1.0
192.168.100.51,192.168.100.50,56495,2190,6,Benign,0.4311 seconds,1.0
192.168.100.51,192.168.100.50,56777,2725,6,Benign,0.2084 seconds,1.0
192.168.100.51,192.168.100.50,57198,256,6,Benign,0.2113 seconds,1.0
192.168.100.51,192.168.100.50,57199,1723,6,Benign,0.2009 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,58252,113,6,Benign,0.1901 seconds,1.0
192.168.100.51,192.168.100.50,58253,443,6,Benign,0.2322 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,58254,587,6,Benign,0.2057 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,58255,1025,6,Benign,0.2044 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,58452,85,6,Benign,0.2018 seconds,1.0
192.168.100.51,192.168.100.50,58887,4045,6,Benign,0.1930 seconds,1.0
192.168.100.51,192.168.100.50,58903,30000,6,Benign,0.2077 seconds,1.0
192.168.100.51,192.168.100.50,58904,1169,6,Benign,0.1910 seconds,1.0
192.168.100.51,192.168.100.50,59275,8093,6,Benign,0.2014 seconds,1.0
192.168.100.51,192.168.100.50,59509,995,6,Benign,0.2116 seconds,1.0
192.168.100.51,192.168.100.50,59984,1718,6,Benign,0.2041 seconds,1.0
192.168.100.51,192.168.100.50,60714,8292,6,Benign,0.2057 seconds,1.0
192.168.100.51,192.168.100.50,60722,9010,6,Benign,0.2089 seconds,1.0
192.168.100.51,192.168.100.50,61373,37,6,Benign,0.3251 seconds,1.0
192.168.100.51,192.168.100.50,61374,1050,6,Benign,0.2053 seconds,0.9966666666666667
192.168.100.50,192.168.100.51,4998,61737,6,Benign,0.2290 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,61838,7000,6,Benign,0.2080 seconds,1.0
192.168.100.51,192.168.100.50,62095,10243,6,Benign,0.2135 seconds,1.0
192.168.100.51,192.168.100.50,62117,32775,6,Benign,0.2404 seconds,1.0
192.168.100.51,192.168.100.50,63127,49161,6,Benign,0.2147 seconds,1.0
192.168.100.51,192.168.100.50,63740,16018,6,Benign,0.2033 seconds,1.0
192.168.100.51,192.168.100.50,63741,10626,6,Benign,0.2097 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,64137,3827,6,Benign,0.2172 seconds,1.0
192.168.100.51,192.168.100.50,64763,50003,6,Benign,0.2051 seconds,1.0
192.168.100.51,192.168.100.50,64771,4045,6,Benign,0.1871 seconds,1.0
192.168.100.51,192.168.100.50,64783,4003,6,Benign,0.1864 seconds,1.0
192.168.100.51,192.168.100.50,64784,44176,6,Benign,0.2055 seconds,0.9966666666666667
192.168.100.50,192.168.100.51,7025,64786,6,Benign,0.1945 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,64966,1723,6,Benign,0.2114 seconds,1.0
192.168.100.50,192.168.100.51,143,64978,6,Benign,0.2087 seconds,0.9009330607663941
192.168.100.50,192.168.100.51,2602,65533,6,Benign,0.2360 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,49155,1132,6,Benign,0.1972 seconds,1.0
192.168.100.51,192.168.100.50,49161,1002,6,Benign,0.4182 seconds,1.0
192.168.100.51,192.168.100.50,49162,593,6,Benign,0.2165 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,50037,9900,6,Benign,0.2171 seconds,1.0
192.168.100.51,192.168.100.50,50038,57294,6,Benign,0.2089 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,51154,1805,6,Benign,0.2013 seconds,1.0
192.168.100.51,192.168.100.50,51543,64623,6,Benign,0.2355 seconds,0.9896666666666666
192.168.100.51,192.168.100.50,51746,427,6,Benign,0.2214 seconds,1.0
192.168.100.51,192.168.100.50,52936,2068,6,Benign,0.2304 seconds,1.0
192.168.100.51,192.168.100.50,53242,28201,6,Benign,0.2071 seconds,1.0
192.168.100.51,192.168.100.50,53896,8600,6,Benign,0.2003 seconds,1.0
192.168.100.51,192.168.100.50,54475,2013,6,Benign,0.2088 seconds,1.0
192.168.100.51,192.168.100.50,54476,5825,6,Benign,0.1918 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,54477,2998,6,Benign,0.2155 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,54836,3005,6,Benign,0.2026 seconds,1.0
192.168.100.51,192.168.100.50,54890,1025,6,Benign,0.2103 seconds,1.0
192.168.100.51,192.168.100.50,54891,8080,6,Benign,0.2197 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,54892,993,6,Benign,0.1946 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,55561,8001,6,Benign,0.2242 seconds,1.0
192.168.100.51,192.168.100.50,55940,3052,6,Benign,0.1989 seconds,1.0
192.168.100.51,192.168.100.50,56763,55600,6,Benign,0.2220 seconds,1.0
192.168.100.51,192.168.100.50,56981,911,6,Benign,0.2355 seconds,1.0
192.168.100.51,192.168.100.50,56982,1301,6,Benign,0.2028 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,56983,1081,6,Benign,0.1992 seconds,0.9966666666666667
192.168.100.51,192.168.100.50,57481,1503,6,Benign,0.2058 seconds,1.0
192.168.100.50,192.168.100.51,2126,57748,6,Benign,0.2014 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,57774,2009,6,Benign,0.2189 seconds,1.0
192.168.100.51,192.168.100.50,58086,6580,6,Benign,0.1989 seconds,1.0
192.168.100.51,192.168.100.50,58087,8007,6,Benign,0.2240 seconds,0.9966666666666667
