src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
192.168.100.51,192.168.100.50,54832,80,6,Benign,0.4698 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,54831,80,6,Benign,0.2760 seconds,0.970135208292071
192.168.100.51,192.168.100.50,54830,80,6,Benign,0.4126 seconds,0.9698018749587379
192.168.100.51,192.168.100.50,54829,80,6,Benign,0.2793 seconds,0.9748018749587379
192.168.100.51,192.168.100.50,54814,80,6,Benign,0.2699 seconds,0.9698018749587379
192.168.100.51,192.168.100.50,60692,80,6,Benign,0.2429 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,60691,80,6,Benign,0.2524 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,59016,80,6,Benign,0.2234 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,54878,80,6,Benign,0.2322 seconds,0.9774489337822672
192.168.100.51,192.168.100.50,54877,80,6,Benign,0.2332 seconds,0.970135208292071
192.168.100.51,192.168.100.50,54876,80,6,Benign,0.2704 seconds,0.970135208292071
192.168.100.51,192.168.100.50,54875,80,6,Benign,0.2430 seconds,0.9727822671156005
192.168.100.51,192.168.100.50,54873,80,6,Benign,0.2292 seconds,0.970135208292071
192.168.100.51,192.168.100.50,54872,80,6,Benign,0.2349 seconds,0.9727822671156005
192.168.100.51,192.168.100.50,54871,80,6,Benign,0.3208 seconds,0.970135208292071
192.168.100.51,192.168.100.50,54844,80,6,Benign,0.2620 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,54843,80,6,Benign,0.2313 seconds,0.970135208292071
192.168.100.51,192.168.100.50,54910,80,6,Benign,0.2269 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,54909,80,6,Benign,0.2394 seconds,0.970135208292071
192.168.100.51,192.168.100.50,54879,80,6,Benign,0.3687 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,54861,80,6,Benign,0.2275 seconds,0.970135208292071
192.168.100.51,192.168.100.50,54778,80,6,Benign,0.2952 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,54777,80,6,Benign,0.3352 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,54758,80,6,Benign,0.3826 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,54754,80,6,Benign,0.2912 seconds,0.970135208292071
192.168.100.51,192.168.100.50,54753,80,6,Benign,0.2527 seconds,0.9727822671156005
192.168.100.51,192.168.100.50,54752,80,6,Benign,0.2815 seconds,0.9727822671156005
192.168.100.51,192.168.100.50,54751,80,6,Benign,0.2184 seconds,0.9727822671156005
192.168.100.51,192.168.100.50,60271,80,6,Benign,0.2150 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,59717,80,6,Benign,0.2194 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,59570,80,6,Benign,0.2158 seconds,0.9727822671156005
192.168.100.51,192.168.100.50,60156,80,6,Benign,0.2091 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,59878,80,6,Benign,0.2955 seconds,0.970135208292071
192.168.100.51,192.168.100.50,59721,80,6,Benign,0.2294 seconds,0.9801352082920709
192.168.100.51,192.168.100.50,60022,80,6,Benign,0.2387 seconds,0.9801352082920709
192.168.100.50,192.168.100.51,80,60103,6,Benign,0.2567 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,60167,80,6,Benign,0.5381 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,58989,80,6,Benign,0.5784 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,57699,80,6,Benign,0.4158 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,57698,80,6,Benign,0.5570 seconds,0.9009330607663941
192.168.100.51,192.168.100.50,58988,80,6,Benign,0.4384 seconds,0.9555600448933783
192.168.100.51,192.168.100.50,57697,80,6,Benign,0.2366 seconds,0.9555600448933783
192.168.100.51,192.168.100.50,58279,80,6,Benign,0.5488 seconds,0.9560044893378228
192.168.100.51,192.168.100.50,58277,80,6,Benign,0.4550 seconds,0.9560044893378228
192.168.100.51,192.168.100.50,60274,80,6,Benign,0.2340 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,60273,80,6,Benign,0.3163 seconds,0.9727822671156005
192.168.100.51,192.168.100.50,60889,80,6,Benign,0.4742 seconds,0.956115600448934
192.168.100.51,192.168.100.50,61417,80,6,Benign,0.3390 seconds,0.9561156004489337
192.168.100.51,192.168.100.50,61783,80,6,Benign,0.3009 seconds,0.956115600448934
192.168.100.51,192.168.100.50,57755,80,6,Benign,0.4155 seconds,0.9774489337822672
192.168.100.51,192.168.100.50,57739,80,6,Benign,0.7081 seconds,0.9822222222222223
192.168.100.51,192.168.100.50,57738,80,6,Benign,0.5182 seconds,0.9822222222222223
192.168.100.51,192.168.100.50,62494,80,6,Benign,0.7303 seconds,0.9600044893378227
192.168.100.51,192.168.100.50,61414,80,6,Benign,0.4925 seconds,0.9577822671156007
192.168.100.51,192.168.100.50,59738,80,6,Benign,0.5222 seconds,0.9744444444444443
192.168.100.51,192.168.100.50,63465,80,6,Benign,0.3256 seconds,0.9607049724296102
192.168.100.51,192.168.100.50,63464,80,6,Benign,0.3371 seconds,0.9573716390962769
192.168.100.51,192.168.100.50,60250,80,6,Benign,0.3103 seconds,0.9734685416254043
192.168.100.51,192.168.100.50,60280,80,6,Benign,0.4773 seconds,0.9844444444444446
