src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
51.116.253.169,192.168.100.50,443,37736,6,Benign,0.9238 seconds,1.0
140.82.113.22,192.168.100.50,443,49530,6,Benign,0.7031 seconds,1.0
140.82.113.22,192.168.100.50,443,49530,6,Benign,0.6464 seconds,1.0
20.205.243.168,192.168.100.50,443,56018,6,Benign,0.6695 seconds,1.0
20.205.243.168,192.168.100.50,443,56018,6,Benign,0.6441 seconds,1.0
192.168.100.50,140.82.112.22,50830,443,6,Benign,0.3152 seconds,1.0
140.82.112.22,192.168.100.50,443,50830,6,Benign,0.2506 seconds,1.0
140.82.112.22,192.168.100.50,443,50830,6,Benign,0.2775 seconds,1.0
192.168.100.50,140.82.113.22,40148,443,6,Benign,0.3185 seconds,1.0
140.82.113.22,192.168.100.50,443,40148,6,Benign,0.2423 seconds,1.0
140.82.113.22,192.168.100.50,443,40148,6,Benign,0.2668 seconds,1.0
192.168.100.53,192.168.100.50,50472,80,6,Benign,0.3602 seconds,1.0
192.168.100.53,192.168.100.50,50473,80,6,Benign,0.2872 seconds,1.0
192.168.100.53,192.168.100.50,50471,80,6,Benign,0.2782 seconds,1.0
192.168.100.53,192.168.100.50,50470,80,6,Benign,0.2710 seconds,1.0
192.168.100.53,192.168.100.50,50469,80,6,Benign,0.2771 seconds,1.0
192.168.100.53,192.168.100.50,50468,80,6,Benign,0.3032 seconds,1.0
192.168.100.53,192.168.100.50,50453,80,6,DoS,0.3151 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.53,192.168.100.50,50452,80,6,Benign,0.2898 seconds,1.0
192.168.100.53,192.168.100.50,50517,80,6,Benign,0.2579 seconds,1.0
192.168.100.53,192.168.100.50,50511,80,6,Benign,0.2744 seconds,1.0
192.168.100.53,192.168.100.50,50542,80,6,Benign,0.4068 seconds,1.0
192.168.100.53,192.168.100.50,50541,80,6,Benign,0.3718 seconds,1.0
192.168.100.53,192.168.100.50,50531,80,6,Benign,0.2629 seconds,1.0
192.168.100.53,192.168.100.50,50532,80,6,Benign,0.2571 seconds,1.0
192.168.100.53,192.168.100.50,50529,80,6,Benign,0.2846 seconds,1.0
192.168.100.53,192.168.100.50,53994,80,6,Benign,0.3448 seconds,1.0
192.168.100.53,192.168.100.50,51022,80,6,Benign,0.2669 seconds,1.0
192.168.100.53,192.168.100.50,51021,80,6,Benign,0.2820 seconds,1.0
192.168.100.53,192.168.100.50,51023,80,6,Benign,0.2745 seconds,1.0
192.168.100.53,192.168.100.50,51016,80,6,DoS,0.3041 seconds,1.0,1.0,0.0,0.0,0.0,0.0
192.168.100.53,192.168.100.50,52296,80,6,Benign,0.3373 seconds,1.0
192.168.100.53,192.168.100.50,52737,80,6,Benign,0.2447 seconds,1.0
192.168.100.53,192.168.100.50,52305,80,6,Benign,0.2477 seconds,1.0
