src_ip,dst_ip,src_port,dst_port,protocol,Prediction,Prediction_Time,Confidence
192.168.100.50,20.189.172.33,53426,443,6,Benign,0.0149 seconds,0.9999783635139465
192.168.100.50,13.107.5.93,44354,443,6,Benign,0.0093 seconds,0.9999446272850037
192.168.100.51,192.168.100.50,62167,21,6,Benign,0.0039 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62169,21,6,Benign,0.0041 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62167,21,6,Benign,0.0061 seconds,0.9997608065605164
192.168.100.51,192.168.100.50,62169,21,6,Benign,0.0068 seconds,0.9997608065605164
192.168.100.51,192.168.100.50,62170,21,6,Benign,0.0104 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62170,21,6,Benign,0.0079 seconds,0.9997608065605164
192.168.100.51,192.168.100.50,62176,21,6,Benign,0.0065 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62176,21,6,Benign,0.0055 seconds,0.9997928142547607
192.168.100.51,192.168.100.50,62171,21,6,Benign,0.0037 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62171,21,6,Benign,0.0037 seconds,0.9997608065605164
192.168.100.51,192.168.100.50,62175,21,6,Benign,0.0038 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62175,21,6,Benign,0.0041 seconds,0.9997607469558716
192.168.100.51,192.168.100.50,62168,21,6,Benign,0.0052 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62174,21,6,Benign,0.0074 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62174,21,6,Benign,0.0055 seconds,0.9996917843818665
192.168.100.51,192.168.100.50,62168,21,6,Benign,0.0050 seconds,0.9997608065605164
192.168.100.51,192.168.100.50,62173,21,6,Benign,0.0039 seconds,0.9999449849128723
192.168.100.51,192.168.100.50,62173,21,6,Benign,0.0038 seconds,0.9996917843818665
192.168.100.51,192.168.100.50,62172,21,6,Benign,0.0039 seconds,0.9999449849128723
192.168.100.51,192.168.100.50,62172,21,6,Benign,0.0038 seconds,0.9997893571853638
192.168.100.50,13.107.5.93,55832,443,6,Benign,0.0083 seconds,0.9999446272850037
192.168.100.51,192.168.100.50,62181,21,6,Benign,0.0038 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62181,21,6,Benign,0.0038 seconds,0.9997893571853638
192.168.100.51,192.168.100.50,62179,21,6,Benign,0.0063 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62179,21,6,Benign,0.0070 seconds,0.9997608065605164
192.168.100.51,192.168.100.50,62186,21,6,Benign,0.0040 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62186,21,6,Benign,0.0038 seconds,0.9997607469558716
192.168.100.51,192.168.100.50,62180,21,6,Benign,0.0058 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62180,21,6,Benign,0.0102 seconds,0.9997608065605164
192.168.100.51,192.168.100.50,62184,21,6,Benign,0.0104 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62184,21,6,Benign,0.0038 seconds,0.9997279644012451
192.168.100.51,192.168.100.50,62182,21,6,Benign,0.0038 seconds,0.9999449849128723
192.168.100.51,192.168.100.50,62182,21,6,Benign,0.0037 seconds,0.9996341466903687
192.168.100.51,192.168.100.50,62185,21,6,Benign,0.0038 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62185,21,6,Benign,0.0039 seconds,0.9997608065605164
192.168.100.51,192.168.100.50,62185,21,6,Benign,0.0054 seconds,0.9997607469558716
192.168.100.51,192.168.100.50,62183,21,6,Benign,0.0133 seconds,0.9999449849128723
192.168.100.51,192.168.100.50,62183,21,6,Benign,0.0060 seconds,0.9997607469558716
192.168.100.51,192.168.100.50,62188,21,6,Benign,0.0041 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62188,21,6,Benign,0.0047 seconds,0.9997645020484924
192.168.100.51,192.168.100.50,62187,21,6,Benign,0.0042 seconds,0.9999449849128723
192.168.100.51,192.168.100.50,62187,21,6,Benign,0.0037 seconds,0.9996339678764343
192.168.100.51,192.168.100.50,62191,21,6,Benign,0.0039 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62191,21,6,Benign,0.0039 seconds,0.9997023344039917
192.168.100.51,192.168.100.50,62193,21,6,Benign,0.0040 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62193,21,6,Benign,0.0115 seconds,0.9997608065605164
192.168.100.51,192.168.100.50,62190,21,6,Benign,0.0058 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62190,21,6,Benign,0.0037 seconds,0.9997023344039917
192.168.100.51,192.168.100.50,62192,21,6,Benign,0.0038 seconds,0.9999449849128723
192.168.100.51,192.168.100.50,62192,21,6,Benign,0.0085 seconds,0.9997607469558716
192.168.100.51,192.168.100.50,62189,21,6,Benign,0.0043 seconds,0.9999449849128723
192.168.100.51,192.168.100.50,62189,21,6,Benign,0.0144 seconds,0.9997962713241577
192.168.100.51,192.168.100.50,62194,21,6,Benign,0.0039 seconds,0.9999449849128723
192.168.100.51,192.168.100.50,62194,21,6,Benign,0.0048 seconds,0.9997645020484924
192.168.100.51,192.168.100.50,62195,21,6,Benign,0.0039 seconds,0.9999449849128723
192.168.100.51,192.168.100.50,62195,21,6,Benign,0.0041 seconds,0.9997608065605164
192.168.100.51,192.168.100.50,62197,21,6,Benign,0.0048 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62197,21,6,Benign,0.0098 seconds,0.9997608065605164
192.168.100.51,192.168.100.50,62196,21,6,Benign,0.0067 seconds,0.9999449849128723
192.168.100.51,192.168.100.50,62196,21,6,Benign,0.0051 seconds,0.9996917843818665
192.168.100.51,192.168.100.50,62198,21,6,Benign,0.0037 seconds,0.9999390840530396
192.168.100.51,192.168.100.50,62198,21,6,Benign,0.0037 seconds,0.9997893571853638
192.168.100.50,20.205.243.168,55344,443,6,Benign,0.0038 seconds,0.9997398853302002
20.205.243.168,192.168.100.50,443,55344,6,Benign,0.0037 seconds,0.9996917843818665
